,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.003139299999999956,708.0,False,100,0.01,100
1,1,0.6282848999999999,763.0,False,100,0.01,100
2,2,1.323257,763.0,False,100,0.01,100
3,3,2.0066815,763.0,False,100,0.01,100
4,4,2.6898726,763.0,False,100,0.01,100
5,5,3.3641248,763.0,False,100,0.01,100
6,6,4.0331518,763.0,False,100,0.01,100
7,7,0.00442739999999997,708.0,False,100,0.02,100
8,8,0.6472452000000004,763.0,False,100,0.02,100
9,9,1.3410698000000005,763.0,False,100,0.02,100
10,10,2.0248595000000007,765.0,False,100,0.02,100
11,11,2.709445200000001,765.0,False,100,0.02,100
12,12,3.3903242999999996,765.0,False,100,0.02,100
13,13,4.0888443,765.0,False,100,0.02,100
14,14,4.777108500000001,765.0,False,100,0.02,100
15,15,5.468548200000001,765.0,False,100,0.02,100
16,16,0.0032111999999990815,708.0,False,100,0.03,100
17,17,0.6468790000000002,763.0,False,100,0.03,100
18,18,1.3373358999999994,763.0,False,100,0.03,100
19,19,2.0220895999999993,764.0,False,100,0.03,100
20,20,2.712309099999999,765.0,False,100,0.03,100
21,21,3.4031594,765.0,False,100,0.03,100
22,22,4.0902343000000005,765.0,False,100,0.03,100
23,23,4.790410699999999,765.0,False,100,0.03,100
24,24,5.491352199999998,765.0,False,100,0.03,100
25,25,6.1924119,765.0,False,100,0.03,100
26,26,0.003079299999999563,708.0,False,100,0.04,100
27,27,0.6506003999999983,763.0,False,100,0.04,100
28,28,1.3356811999999998,764.0,False,100,0.04,100
29,29,2.0243500999999995,765.0,False,100,0.04,100
30,30,2.706507200000001,765.0,False,100,0.04,100
31,31,3.385324999999998,765.0,False,100,0.04,100
32,32,4.083523899999999,765.0,False,100,0.04,100
33,33,4.772671499999998,765.0,False,100,0.04,100
34,34,5.4622861,765.0,False,100,0.04,100
35,35,0.003124999999997158,708.0,False,100,0.05,100
36,36,0.660287499999999,765.0,False,100,0.05,100
37,37,1.3546633999999997,765.0,False,100,0.05,100
38,38,2.0551883999999987,765.0,False,100,0.05,100
39,39,2.7577435,765.0,False,100,0.05,100
40,40,3.4568945999999983,765.0,False,100,0.05,100
41,41,4.1635226,765.0,False,100,0.05,100
42,42,0.0033411999999977127,708.0,False,100,0.060000000000000005,100
43,43,0.6586210000000001,765.0,False,100,0.060000000000000005,100
44,44,1.3643761999999988,765.0,False,100,0.060000000000000005,100
45,45,2.0667531999999973,765.0,False,100,0.060000000000000005,100
46,46,2.775898899999998,765.0,False,100,0.060000000000000005,100
47,47,3.4826093999999976,765.0,False,100,0.060000000000000005,100
48,48,4.185427899999997,765.0,False,100,0.060000000000000005,100
49,49,0.003370000000000317,708.0,False,100,0.06999999999999999,100
50,50,0.6663079999999972,761.0,False,100,0.06999999999999999,100
51,51,1.3688193999999996,764.0,False,100,0.06999999999999999,100
52,52,2.0714422,764.0,False,100,0.06999999999999999,100
53,53,2.7755220999999963,764.0,False,100,0.06999999999999999,100
54,54,3.5205325000000016,764.0,False,100,0.06999999999999999,100
55,55,4.233366799999999,764.0,False,100,0.06999999999999999,100
56,56,4.950891800000001,764.0,False,100,0.06999999999999999,100
57,57,0.0032314999999982774,708.0,False,100,0.08,100
58,58,0.6596845999999985,765.0,False,100,0.08,100
59,59,1.3647975999999957,765.0,False,100,0.08,100
60,60,2.059622999999995,765.0,False,100,0.08,100
61,61,2.7540209000000004,765.0,False,100,0.08,100
62,62,3.4593111000000007,765.0,False,100,0.08,100
63,63,4.1710706,765.0,False,100,0.08,100
64,64,0.0032540999999994824,708.0,False,100,0.09,100
65,65,0.6569433000000018,765.0,False,100,0.09,100
66,66,1.3617381000000037,765.0,False,100,0.09,100
67,67,2.071005800000002,765.0,False,100,0.09,100
68,68,2.783785800000004,765.0,False,100,0.09,100
69,69,3.495722100000002,765.0,False,100,0.09,100
70,70,4.207537500000001,765.0,False,100,0.09,100
71,71,0.003054900000002192,708.0,False,100,0.09999999999999999,100
72,72,0.6613952000000012,765.0,False,100,0.09999999999999999,100
73,73,1.3612189000000043,765.0,False,100,0.09999999999999999,100
74,74,2.0598182000000023,765.0,False,100,0.09999999999999999,100
75,75,2.7560016999999988,765.0,False,100,0.09999999999999999,100
76,76,3.4524218000000033,765.0,False,100,0.09999999999999999,100
77,77,4.141816800000001,765.0,False,100,0.09999999999999999,100
78,78,0.003379599999995264,708.0,False,100,0.11,100
79,79,0.6571594999999988,762.0,False,100,0.11,100
80,80,1.3522222,765.0,False,100,0.11,100
81,81,2.0501520999999983,765.0,False,100,0.11,100
82,82,2.749036699999998,765.0,False,100,0.11,100
83,83,3.4445130000000006,765.0,False,100,0.11,100
84,84,4.140719300000001,765.0,False,100,0.11,100
85,85,4.8330415,765.0,False,100,0.11,100
86,86,0.0030817999999968038,708.0,False,100,0.12,100
87,87,0.6659588999999997,765.0,False,100,0.12,100
88,88,1.376593200000002,765.0,False,100,0.12,100
89,89,2.1025440000000017,765.0,False,100,0.12,100
90,90,2.8219838999999993,765.0,False,100,0.12,100
91,91,3.5308556000000024,765.0,False,100,0.12,100
92,92,4.246179499999997,765.0,False,100,0.12,100
93,93,0.003043499999996868,708.0,False,100,0.13,100
94,94,0.6606460999999939,763.0,False,100,0.13,100
95,95,1.366526399999998,763.0,False,100,0.13,100
96,96,2.0780888999999974,764.0,False,100,0.13,100
97,97,2.778797599999997,765.0,False,100,0.13,100
98,98,3.482418999999993,765.0,False,100,0.13,100
99,99,4.1847919999999945,765.0,False,100,0.13,100
100,100,4.882697499999999,765.0,False,100,0.13,100
101,101,5.579333599999998,765.0,False,100,0.13,100
102,102,6.272327799999999,765.0,False,100,0.13,100
103,103,0.003700099999996098,708.0,False,100,0.14,100
104,104,0.655239999999992,763.0,False,100,0.14,100
105,105,1.3580987999999934,763.0,False,100,0.14,100
106,106,2.0609891000000005,765.0,False,100,0.14,100
107,107,2.787907500000003,765.0,False,100,0.14,100
108,108,3.509776500000001,765.0,False,100,0.14,100
109,109,4.2327610999999905,765.0,False,100,0.14,100
110,110,4.953672400000002,765.0,False,100,0.14,100
111,111,5.654859500000001,765.0,False,100,0.14,100
112,112,0.003046300000008273,708.0,False,100,0.15000000000000002,100
113,113,0.6761352999999986,761.0,False,100,0.15000000000000002,100
114,114,1.3934930000000065,765.0,False,100,0.15000000000000002,100
115,115,2.104748299999997,765.0,False,100,0.15000000000000002,100
116,116,2.813682,765.0,False,100,0.15000000000000002,100
117,117,3.5311630000000065,765.0,False,100,0.15000000000000002,100
118,118,4.264340300000001,765.0,False,100,0.15000000000000002,100
119,119,4.997671699999998,765.0,False,100,0.15000000000000002,100
120,120,0.003039799999996262,708.0,False,100,0.16,100
121,121,0.6617349999999931,761.0,False,100,0.16,100
122,122,1.368778699999993,763.0,False,100,0.16,100
123,123,2.0799973000000023,764.0,False,100,0.16,100
124,124,2.7909635000000037,764.0,False,100,0.16,100
125,125,3.501410100000001,765.0,False,100,0.16,100
126,126,4.268560899999997,765.0,False,100,0.16,100
127,127,5.041109599999999,765.0,False,100,0.16,100
128,128,5.782812800000002,765.0,False,100,0.16,100
129,129,6.541605500000003,765.0,False,100,0.16,100
130,130,7.293034000000006,765.0,False,100,0.16,100
131,131,0.0030425000000064983,708.0,False,100,0.17,100
132,132,0.6734300000000104,765.0,False,100,0.17,100
133,133,1.3876723000000055,765.0,False,100,0.17,100
134,134,2.100026100000008,765.0,False,100,0.17,100
135,135,2.8127250000000004,765.0,False,100,0.17,100
136,136,3.523821500000011,765.0,False,100,0.17,100
137,137,4.2337142000000085,765.0,False,100,0.17,100
138,138,0.0030332999999984622,708.0,False,100,0.18000000000000002,100
139,139,0.687055799999996,765.0,False,100,0.18000000000000002,100
140,140,1.4417615999999924,765.0,False,100,0.18000000000000002,100
141,141,2.1957876000000027,765.0,False,100,0.18000000000000002,100
142,142,2.960775600000005,765.0,False,100,0.18000000000000002,100
143,143,3.6942736000000025,765.0,False,100,0.18000000000000002,100
144,144,4.4220650000000035,765.0,False,100,0.18000000000000002,100
145,145,0.003047899999998549,708.0,False,100,0.19,100
146,146,0.6981966000000028,763.0,False,100,0.19,100
147,147,1.4392943000000002,765.0,False,100,0.19,100
148,148,2.1783288000000027,765.0,False,100,0.19,100
149,149,2.9168875999999955,765.0,False,100,0.19,100
150,150,3.6317477999999994,765.0,False,100,0.19,100
151,151,4.341601999999995,765.0,False,100,0.19,100
152,152,5.0502745999999945,765.0,False,100,0.19,100
153,153,0.0031222000000070693,708.0,False,100,0.2,100
154,154,0.6728399999999937,765.0,False,100,0.2,100
155,155,1.3889685999999983,765.0,False,100,0.2,100
156,156,2.1201455000000067,765.0,False,100,0.2,100
157,157,2.849069799999995,765.0,False,100,0.2,100
158,158,3.5779172999999957,765.0,False,100,0.2,100
159,159,4.304353899999995,765.0,False,100,0.2,100
160,160,0.003219799999996553,708.0,False,100,0.21000000000000002,100
161,161,0.6718654999999956,765.0,False,100,0.21000000000000002,100
162,162,1.3900153999999958,765.0,False,100,0.21000000000000002,100
163,163,2.1270286999999968,765.0,False,100,0.21000000000000002,100
164,164,2.8647742999999934,765.0,False,100,0.21000000000000002,100
165,165,3.600282100000001,765.0,False,100,0.21000000000000002,100
166,166,4.336766400000002,765.0,False,100,0.21000000000000002,100
167,167,0.0030493000000006987,708.0,False,100,0.22,100
168,168,0.6911846999999938,765.0,False,100,0.22,100
169,169,1.4244441000000023,765.0,False,100,0.22,100
170,170,2.1605308999999977,765.0,False,100,0.22,100
171,171,2.892802599999996,765.0,False,100,0.22,100
172,172,3.619546999999997,765.0,False,100,0.22,100
173,173,4.332258400000001,765.0,False,100,0.22,100
174,174,0.003126100000002907,708.0,False,100,0.23,100
175,175,0.6748936000000043,761.0,False,100,0.23,100
176,176,1.3951411999999976,765.0,False,100,0.23,100
177,177,2.1443043000000017,765.0,False,100,0.23,100
178,178,2.8650517000000093,765.0,False,100,0.23,100
179,179,3.5868629,765.0,False,100,0.23,100
180,180,4.308313699999999,765.0,False,100,0.23,100
181,181,5.024518200000003,765.0,False,100,0.23,100
182,182,0.003093300000003296,708.0,False,100,0.24000000000000002,100
183,183,0.6722237000000035,761.0,False,100,0.24000000000000002,100
184,184,1.387318300000004,763.0,False,100,0.24000000000000002,100
185,185,2.111409100000003,765.0,False,100,0.24000000000000002,100
186,186,2.8254512999999974,765.0,False,100,0.24000000000000002,100
187,187,3.536668800000001,765.0,False,100,0.24000000000000002,100
188,188,4.2470541,765.0,False,100,0.24000000000000002,100
189,189,4.957719699999998,765.0,False,100,0.24000000000000002,100
190,190,5.6717704,765.0,False,100,0.24000000000000002,100
191,191,0.003128300000000195,708.0,False,100,0.25,100
192,192,0.6775193000000002,765.0,False,100,0.25,100
193,193,1.3916765000000026,765.0,False,100,0.25,100
194,194,2.1052580000000063,765.0,False,100,0.25,100
195,195,2.8185009000000036,765.0,False,100,0.25,100
196,196,3.553926700000005,765.0,False,100,0.25,100
197,197,4.2961858000000035,765.0,False,100,0.25,100
198,198,0.0030406999999996742,708.0,False,100,0.26,100
199,199,0.6723136999999895,761.0,False,100,0.26,100
200,200,1.4112140999999951,763.0,False,100,0.26,100
201,201,2.1488484999999997,765.0,False,100,0.26,100
202,202,2.8646864999999906,765.0,False,100,0.26,100
203,203,3.586326899999989,765.0,False,100,0.26,100
204,204,4.295833599999995,765.0,False,100,0.26,100
205,205,5.0112252999999924,765.0,False,100,0.26,100
206,206,5.725860099999991,765.0,False,100,0.26,100
207,207,0.003056099999980688,708.0,False,100,0.27,100
208,208,0.699461499999984,765.0,False,100,0.27,100
209,209,1.437556299999983,765.0,False,100,0.27,100
210,210,2.1776035999999976,765.0,False,100,0.27,100
211,211,2.915978999999993,765.0,False,100,0.27,100
212,212,3.651961899999975,765.0,False,100,0.27,100
213,213,4.3863001,765.0,False,100,0.27,100
214,214,0.003017499999998563,708.0,False,100,0.28,100
215,215,0.6962899000000107,764.0,False,100,0.28,100
216,216,1.4259078000000045,764.0,False,100,0.28,100
217,217,2.154974100000004,764.0,False,100,0.28,100
218,218,2.8842597999999953,764.0,False,100,0.28,100
219,219,3.609279600000008,765.0,False,100,0.28,100
220,220,4.327699700000011,765.0,False,100,0.28,100
221,221,5.0451817000000005,765.0,False,100,0.28,100
222,222,5.777990499999987,765.0,False,100,0.28,100
223,223,6.504790100000008,765.0,False,100,0.28,100
224,224,7.2315135999999995,765.0,False,100,0.28,100
