,Iteration,Time,Fitness,Temperature,max_iters
0,0,5.990000000011264e-05,1.0,1,8192
1,1,0.013025400000000076,1.0,1,8192
2,2,0.02146860000000017,1.0,1,8192
3,3,0.028020500000000004,1.0,1,8192
4,4,0.028066099999999983,1.0,1,8192
5,5,0.036808400000000185,1.0,1,8192
6,6,0.036854900000000024,1.0,1,8192
7,7,0.036890599999999996,1.0,1,8192
8,8,0.03692340000000005,1.0,1,8192
9,9,0.045664099999999985,1.0,1,8192
10,10,0.04571130000000001,1.0,1,8192
11,11,0.04574810000000018,1.0,1,8192
12,12,0.04578159999999998,1.0,1,8192
13,13,0.04581500000000016,1.0,1,8192
14,14,0.04584790000000005,1.0,1,8192
15,15,0.045879900000000085,1.0,1,8192
16,16,0.04591250000000002,1.0,1,8192
17,17,0.05467280000000008,1.0,1,8192
18,18,0.054721200000000136,1.0,1,8192
19,19,0.05475950000000007,1.0,1,8192
20,20,0.054793800000000115,1.0,1,8192
21,21,0.05482620000000016,1.0,1,8192
22,22,0.05485859999999998,1.0,1,8192
23,23,0.05489090000000019,1.0,1,8192
24,24,0.054923100000000113,1.0,1,8192
25,25,0.054955100000000145,1.0,1,8192
26,26,0.05498780000000014,1.0,1,8192
27,27,0.055019700000000116,1.0,1,8192
28,28,0.05505160000000009,1.0,1,8192
29,29,0.05508370000000018,1.0,1,8192
30,30,0.05511510000000008,1.0,1,8192
31,31,0.055147200000000174,1.0,1,8192
32,32,0.05518000000000001,1.0,1,8192
33,33,0.0651602,1.0,1,8192
34,34,0.06522580000000011,1.0,1,8192
35,35,0.0652769000000002,1.0,1,8192
36,36,0.06532470000000012,1.0,1,8192
37,37,0.06537579999999998,1.0,1,8192
38,38,0.06542320000000013,1.0,1,8192
39,39,0.06546859999999999,1.0,1,8192
40,40,0.06551649999999998,1.0,1,8192
41,41,0.0655618,1.0,1,8192
42,42,0.06560670000000002,1.0,1,8192
43,43,0.06565170000000009,1.0,1,8192
44,44,0.0656962000000001,1.0,1,8192
45,45,0.06574010000000019,1.0,1,8192
46,46,0.06578430000000002,1.0,1,8192
47,47,0.06582920000000003,1.0,1,8192
48,48,0.0658738000000001,1.0,1,8192
49,49,0.06591820000000004,1.0,1,8192
50,50,0.06596170000000012,1.0,1,8192
51,51,0.0660054000000001,1.0,1,8192
52,52,0.06604690000000013,4.0,1,8192
53,53,0.06609160000000003,4.0,1,8192
54,54,0.06613690000000005,4.0,1,8192
55,55,0.06618180000000007,4.0,1,8192
56,56,0.06622800000000018,4.0,1,8192
57,57,0.06627519999999998,4.0,1,8192
58,58,0.06632230000000017,4.0,1,8192
59,59,0.06637470000000012,4.0,1,8192
60,60,0.06642300000000012,4.0,1,8192
61,61,0.06646990000000019,4.0,1,8192
62,62,0.06651700000000016,4.0,1,8192
63,63,0.06656390000000001,4.0,1,8192
64,64,0.06660949999999999,4.0,1,8192
65,65,0.08572360000000012,4.0,1,8192
66,66,0.08585150000000019,4.0,1,8192
67,67,0.08595770000000003,4.0,1,8192
68,68,0.08605680000000016,4.0,1,8192
69,69,0.08615180000000011,4.0,1,8192
70,70,0.08624209999999999,4.0,1,8192
71,71,0.08633100000000016,4.0,1,8192
72,72,0.08643670000000014,4.0,1,8192
73,73,0.08654680000000003,4.0,1,8192
74,74,0.08664550000000015,4.0,1,8192
75,75,0.08674290000000018,4.0,1,8192
76,76,0.086835,4.0,1,8192
77,77,0.08694259999999998,4.0,1,8192
78,78,0.08702560000000004,4.0,1,8192
79,79,0.08709990000000012,4.0,1,8192
80,80,0.08717160000000002,4.0,1,8192
81,81,0.08724330000000013,4.0,1,8192
82,82,0.08731480000000014,4.0,1,8192
83,83,0.08739890000000017,4.0,1,8192
84,84,0.08747260000000012,4.0,1,8192
85,85,0.0875471000000001,4.0,1,8192
86,86,0.08762110000000001,4.0,1,8192
87,87,0.0876922,4.0,1,8192
88,88,0.08776220000000001,4.0,1,8192
89,89,0.08783700000000016,4.0,1,8192
90,90,0.08790640000000005,4.0,1,8192
91,91,0.08798119999999998,4.0,1,8192
92,92,0.08805280000000004,4.0,1,8192
93,93,0.08812390000000003,4.0,1,8192
94,94,0.08819520000000014,4.0,1,8192
95,95,0.08826660000000008,4.0,1,8192
96,96,0.08833820000000014,4.0,1,8192
97,97,0.08841589999999999,4.0,1,8192
98,98,0.08848929999999999,4.0,1,8192
99,99,0.0885619000000002,4.0,1,8192
100,100,0.08863280000000007,4.0,1,8192
101,101,0.08870339999999999,4.0,1,8192
102,102,0.08878180000000002,4.0,1,8192
103,103,0.08885570000000009,4.0,1,8192
104,104,0.08892600000000006,4.0,1,8192
105,105,0.08899590000000002,4.0,1,8192
106,106,0.08906619999999998,4.0,1,8192
107,107,0.08914450000000018,4.0,1,8192
108,108,0.08921600000000018,4.0,1,8192
109,109,0.08928740000000013,4.0,1,8192
110,110,0.08936420000000012,4.0,1,8192
111,111,0.08944950000000018,4.0,1,8192
112,112,0.089526,4.0,1,8192
113,113,0.08959960000000011,4.0,1,8192
114,114,0.08967220000000009,4.0,1,8192
115,115,0.0897542,4.0,1,8192
116,116,0.08982780000000012,4.0,1,8192
117,117,0.08990140000000002,4.0,1,8192
118,118,0.08997790000000006,4.0,1,8192
119,119,0.09005229999999997,4.0,1,8192
120,120,0.09012580000000003,4.0,1,8192
121,121,0.09019719999999998,4.0,1,8192
122,122,0.09026900000000015,4.0,1,8192
123,123,0.09034570000000008,4.0,1,8192
124,124,0.09042260000000013,4.0,1,8192
125,125,0.09049640000000014,4.0,1,8192
126,126,0.09055910000000011,4.0,1,8192
127,127,0.09063850000000007,4.0,1,8192
128,128,0.0907125000000002,4.0,1,8192
129,129,0.1042101000000002,4.0,1,8192
130,130,0.10429830000000018,4.0,1,8192
131,131,0.1043750000000001,4.0,1,8192
132,132,0.10446590000000011,4.0,1,8192
133,133,0.10453410000000019,4.0,1,8192
134,134,0.10459800000000019,4.0,1,8192
135,135,0.10466100000000012,4.0,1,8192
136,136,0.1047228,4.0,1,8192
137,137,0.10478480000000001,4.0,1,8192
138,138,0.10484710000000019,4.0,1,8192
139,139,0.10490870000000019,4.0,1,8192
140,140,0.10497030000000018,4.0,1,8192
141,141,0.10503150000000017,4.0,1,8192
142,142,0.10509310000000016,4.0,1,8192
143,143,0.1051552,4.0,1,8192
144,144,0.1052168,4.0,1,8192
145,145,0.10527860000000011,4.0,1,8192
146,146,0.10534050000000006,4.0,1,8192
147,147,0.10540970000000005,4.0,1,8192
148,148,0.10547800000000018,4.0,1,8192
149,149,0.10554520000000012,4.0,1,8192
150,150,0.10560880000000017,4.0,1,8192
151,151,0.10567070000000012,4.0,1,8192
152,152,0.10573240000000017,4.0,1,8192
153,153,0.10579430000000012,4.0,1,8192
154,154,0.10585630000000013,4.0,1,8192
155,155,0.10591810000000002,4.0,1,8192
156,156,0.10598039999999997,4.0,1,8192
157,157,0.10604250000000004,4.0,1,8192
158,158,0.10610640000000005,4.0,1,8192
159,159,0.10616890000000012,4.0,1,8192
160,160,0.10623240000000012,4.0,1,8192
161,161,0.10629630000000012,4.0,1,8192
162,162,0.10635990000000017,4.0,1,8192
163,163,0.10642910000000017,4.0,1,8192
164,164,0.10649220000000015,4.0,1,8192
165,165,0.1065560000000001,4.0,1,8192
166,166,0.1066199000000001,4.0,1,8192
167,167,0.10668280000000019,4.0,1,8192
168,168,0.10674620000000012,4.0,1,8192
169,169,0.10680960000000006,4.0,1,8192
170,170,0.10687290000000016,4.0,1,8192
171,171,0.10692849999999998,4.0,1,8192
172,172,0.1069926000000001,4.0,1,8192
173,173,0.10705550000000019,4.0,1,8192
174,174,0.10712300000000008,4.0,1,8192
175,175,0.10718670000000019,4.0,1,8192
176,176,0.10724960000000006,4.0,1,8192
177,177,0.10731170000000012,4.0,1,8192
178,178,0.10738060000000016,4.0,1,8192
179,179,0.10744830000000016,4.0,1,8192
180,180,0.10751339999999998,4.0,1,8192
181,181,0.10757740000000005,4.0,1,8192
182,182,0.10764110000000016,4.0,1,8192
183,183,0.10770440000000003,4.0,1,8192
184,184,0.10776690000000011,4.0,1,8192
185,185,0.10783000000000009,4.0,1,8192
186,186,0.10789340000000003,4.0,1,8192
187,187,0.10795640000000017,4.0,1,8192
188,188,0.10801880000000019,4.0,1,8192
189,189,0.10808200000000001,4.0,1,8192
190,190,0.1081449000000001,4.0,1,8192
191,191,0.10820790000000002,4.0,1,8192
192,192,0.10827150000000008,4.0,1,8192
193,193,0.10833369999999998,4.0,1,8192
194,194,0.10840120000000009,4.0,1,8192
195,195,0.10846489999999998,4.0,1,8192
196,196,0.1085271000000001,4.0,1,8192
197,197,0.10858970000000001,4.0,1,8192
198,198,0.10865270000000016,4.0,1,8192
199,199,0.10871589999999998,4.0,1,8192
200,200,0.10877850000000011,4.0,1,8192
201,201,0.1088420000000001,4.0,1,8192
202,202,0.10890840000000002,4.0,1,8192
203,203,0.10897190000000001,4.0,1,8192
204,204,0.10903520000000011,4.0,1,8192
205,205,0.10909790000000008,4.0,1,8192
206,206,0.10916100000000006,4.0,1,8192
207,207,0.10922380000000009,4.0,1,8192
208,208,0.10928650000000006,4.0,1,8192
209,209,0.10935030000000001,4.0,1,8192
210,210,0.10941980000000018,4.0,1,8192
211,211,0.10948400000000014,4.0,1,8192
212,212,0.10954010000000003,4.0,1,8192
213,213,0.10960570000000014,4.0,1,8192
214,214,0.1096705,4.0,1,8192
215,215,0.10974060000000008,4.0,1,8192
216,216,0.10980469999999998,4.0,1,8192
217,217,0.10986470000000015,5.0,1,8192
218,218,0.10993000000000008,5.0,1,8192
219,219,0.1099956000000002,5.0,1,8192
220,220,0.11006430000000011,5.0,1,8192
221,221,0.11013070000000003,5.0,1,8192
222,222,0.11019080000000003,6.0,1,8192
223,223,0.11025610000000019,6.0,1,8192
224,224,0.11032220000000015,6.0,1,8192
225,225,0.11039460000000001,6.0,1,8192
226,226,0.11046240000000007,6.0,1,8192
227,227,0.1105309000000001,6.0,1,8192
228,228,0.11059720000000017,6.0,1,8192
229,229,0.11066390000000004,6.0,1,8192
230,230,0.11072950000000015,6.0,1,8192
231,231,0.11079460000000019,6.0,1,8192
232,232,0.11085960000000017,6.0,1,8192
233,233,0.11092600000000008,6.0,1,8192
234,234,0.11099450000000011,6.0,1,8192
235,235,0.11106130000000003,6.0,1,8192
236,236,0.11112720000000009,6.0,1,8192
237,237,0.11119390000000018,6.0,1,8192
238,238,0.11125990000000008,6.0,1,8192
239,239,0.11133060000000006,6.0,1,8192
240,240,0.11139890000000019,6.0,1,8192
241,241,0.11147309999999999,6.0,1,8192
242,242,0.11153480000000005,6.0,1,8192
243,243,0.11160480000000006,6.0,1,8192
244,244,0.11166359999999997,6.0,1,8192
245,245,0.11173129999999998,6.0,1,8192
246,246,0.1118226,6.0,1,8192
247,247,0.11188569999999998,6.0,1,8192
248,248,0.11194690000000018,6.0,1,8192
249,249,0.11199160000000008,6.0,1,8192
250,250,0.11204400000000003,6.0,1,8192
251,251,0.11209550000000013,6.0,1,8192
252,252,0.11214720000000011,6.0,1,8192
253,253,0.11219920000000005,6.0,1,8192
254,254,0.11225060000000009,6.0,1,8192
255,255,0.11230270000000009,6.0,1,8192
256,256,0.11235930000000005,6.0,1,8192
257,257,0.1261730000000001,6.0,1,8192
258,258,0.1262316000000001,6.0,1,8192
259,259,0.12628119999999998,6.0,1,8192
260,260,0.1263272000000002,6.0,1,8192
261,261,0.12637169999999998,6.0,1,8192
262,262,0.1264158000000002,6.0,1,8192
263,263,0.12646970000000013,6.0,1,8192
264,264,0.1265172000000001,6.0,1,8192
265,265,0.12656100000000015,6.0,1,8192
266,266,0.1266045,6.0,1,8192
267,267,0.12664750000000002,6.0,1,8192
268,268,0.12669050000000004,6.0,1,8192
269,269,0.1267326000000002,6.0,1,8192
270,270,0.12677760000000005,6.0,1,8192
271,271,0.12682000000000015,6.0,1,8192
272,272,0.12687660000000012,6.0,1,8192
273,273,0.1269205,6.0,1,8192
274,274,0.12696490000000016,6.0,1,8192
275,275,0.12700980000000017,6.0,1,8192
276,276,0.12705450000000007,6.0,1,8192
277,277,0.12709840000000017,6.0,1,8192
278,278,0.1271424000000001,6.0,1,8192
279,279,0.12718700000000016,6.0,1,8192
280,280,0.12723190000000018,6.0,1,8192
281,281,0.12727630000000012,6.0,1,8192
282,282,0.1273206,6.0,1,8192
283,283,0.12736540000000018,6.0,1,8192
284,284,0.12740890000000005,6.0,1,8192
285,285,0.12745020000000018,6.0,1,8192
286,286,0.12749390000000016,7.0,1,8192
287,287,0.12753940000000008,7.0,1,8192
288,288,0.12758460000000005,7.0,1,8192
289,289,0.12762960000000012,7.0,1,8192
290,290,0.12767499999999998,7.0,1,8192
291,291,0.12772010000000011,7.0,1,8192
292,292,0.12776540000000014,7.0,1,8192
293,293,0.12781140000000013,7.0,1,8192
294,294,0.12787530000000014,7.0,1,8192
295,295,0.12792409999999999,7.0,1,8192
296,296,0.1279652,7.0,1,8192
