,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.002712500000001228,1.0,200,0.2,1000
1,1,0.018879399999999436,11.0,200,0.2,1000
2,2,0.030150599999998917,11.0,200,0.2,1000
3,3,0.04122260000000111,38.0,200,0.2,1000
4,4,0.05185090000000159,39.0,200,0.2,1000
5,5,0.06288149999999959,42.0,200,0.2,1000
6,6,0.07393439999999885,44.0,200,0.2,1000
7,7,0.08493389999999934,44.0,200,0.2,1000
8,8,0.09613089999999858,48.0,200,0.2,1000
9,9,0.10758189999999956,48.0,200,0.2,1000
10,10,0.11885729999999839,48.0,200,0.2,1000
11,11,0.1298573999999988,48.0,200,0.2,1000
12,12,0.14104190000000116,48.0,200,0.2,1000
13,13,0.15228109999999973,50.0,200,0.2,1000
14,14,0.1637972000000012,50.0,200,0.2,1000
15,15,0.1751927000000002,50.0,200,0.2,1000
16,16,0.18690289999999976,50.0,200,0.2,1000
17,17,0.1984989000000006,50.0,200,0.2,1000
18,18,0.20993770000000112,50.0,200,0.2,1000
19,19,0.22145689999999973,50.0,200,0.2,1000
20,20,0.23316619999999944,52.0,200,0.2,1000
21,21,0.24482120000000052,52.0,200,0.2,1000
22,22,0.2565072000000015,52.0,200,0.2,1000
23,23,0.26794969999999907,52.0,200,0.2,1000
24,24,0.2798619000000002,52.0,200,0.2,1000
25,25,0.29165569999999974,52.0,200,0.2,1000
26,26,0.3035527999999985,52.0,200,0.2,1000
27,27,0.31528439999999947,52.0,200,0.2,1000
28,28,0.32701529999999934,52.0,200,0.2,1000
29,29,0.3388688000000002,52.0,200,0.2,1000
30,30,0.35062870000000146,52.0,200,0.2,1000
31,31,0.3624356999999989,53.0,200,0.2,1000
32,32,0.37407479999999893,53.0,200,0.2,1000
33,33,0.3859054999999998,53.0,200,0.2,1000
34,34,0.39778739999999857,53.0,200,0.2,1000
35,35,0.40961049999999943,53.0,200,0.2,1000
36,36,0.4213257000000006,53.0,200,0.2,1000
37,37,0.43303979999999953,53.0,200,0.2,1000
38,38,0.44505729999999843,53.0,200,0.2,1000
39,39,0.4569101999999994,53.0,200,0.2,1000
40,40,0.46872709999999884,53.0,200,0.2,1000
41,41,0.4803494999999991,53.0,200,0.2,1000
42,42,0.4922475999999989,53.0,200,0.2,1000
