,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0028309000000001916,1.0,200,0.2,1000
1,1,0.02110920000000016,13.0,200,0.2,1000
2,2,0.03382269999999998,13.0,200,0.2,1000
3,3,0.04670240000000003,14.0,200,0.2,1000
4,4,0.059290799999999866,14.0,200,0.2,1000
5,5,0.07212469999999982,14.0,200,0.2,1000
6,6,0.08515179999999978,14.0,200,0.2,1000
7,7,0.09842679999999993,23.0,200,0.2,1000
8,8,0.11171940000000014,23.0,200,0.2,1000
9,9,0.12535059999999998,23.0,200,0.2,1000
10,10,0.13843249999999996,23.0,200,0.2,1000
11,11,0.15308529999999987,94.0,200,0.2,1000
12,12,0.16632649999999982,94.0,200,0.2,1000
13,13,0.17935020000000002,94.0,200,0.2,1000
14,14,0.19270200000000015,94.0,200,0.2,1000
15,15,0.2055750999999999,95.0,200,0.2,1000
16,16,0.21912550000000008,95.0,200,0.2,1000
17,17,0.23233749999999986,95.0,200,0.2,1000
18,18,0.2459435000000001,100.0,200,0.2,1000
19,19,0.26323430000000014,100.0,200,0.2,1000
20,20,0.27714250000000007,100.0,200,0.2,1000
21,21,0.29102590000000017,103.0,200,0.2,1000
22,22,0.30481539999999985,103.0,200,0.2,1000
23,23,0.3188070999999999,105.0,200,0.2,1000
24,24,0.3327072000000002,105.0,200,0.2,1000
25,25,0.3467435000000001,105.0,200,0.2,1000
26,26,0.3607299999999998,106.0,200,0.2,1000
27,27,0.3747796000000001,106.0,200,0.2,1000
28,28,0.38913019999999987,106.0,200,0.2,1000
29,29,0.4032412999999999,106.0,200,0.2,1000
30,30,0.4174256999999999,106.0,200,0.2,1000
31,31,0.43175799999999986,106.0,200,0.2,1000
32,32,0.44614049999999983,107.0,200,0.2,1000
33,33,0.46067210000000003,107.0,200,0.2,1000
34,34,0.4751677999999999,107.0,200,0.2,1000
35,35,0.4894889,107.0,200,0.2,1000
36,36,0.5040729000000002,108.0,200,0.2,1000
37,37,0.5184837999999998,108.0,200,0.2,1000
