,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.006803600000012011,1.0,490,0.15,5000
1,1,0.041648899999984224,11.0,490,0.15,5000
2,2,0.0714608000000112,11.0,490,0.15,5000
3,3,0.10161990000000287,14.0,490,0.15,5000
4,4,0.13255320000001802,14.0,490,0.15,5000
5,5,0.164483099999984,15.0,490,0.15,5000
6,6,0.19454780000000937,18.0,490,0.15,5000
7,7,0.22422209999996312,18.0,490,0.15,5000
8,8,0.254106199999967,18.0,490,0.15,5000
9,9,0.28415749999999207,18.0,490,0.15,5000
10,10,0.31446959999999535,18.0,490,0.15,5000
11,11,0.3448376000000053,20.0,490,0.15,5000
12,12,0.37619710000001305,20.0,490,0.15,5000
13,13,0.40807919999997466,20.0,490,0.15,5000
14,14,0.4407348999999954,20.0,490,0.15,5000
15,15,0.4730960999999638,21.0,490,0.15,5000
16,16,0.5055292000000122,25.0,490,0.15,5000
17,17,0.538022299999966,25.0,490,0.15,5000
18,18,0.571242199999972,65.0,490,0.15,5000
19,19,0.604270299999996,65.0,490,0.15,5000
20,20,0.637453800000003,69.0,490,0.15,5000
21,21,0.6708619999999996,69.0,490,0.15,5000
22,22,0.704075199999977,70.0,490,0.15,5000
23,23,0.7377309999999966,70.0,490,0.15,5000
24,24,0.7730677000000128,71.0,490,0.15,5000
25,25,0.8073785999999927,76.0,490,0.15,5000
26,26,0.8416988000000174,76.0,490,0.15,5000
27,27,0.8759096,76.0,490,0.15,5000
28,28,0.9101127000000133,77.0,490,0.15,5000
29,29,0.9444250999999895,77.0,490,0.15,5000
30,30,0.9792190000000005,77.0,490,0.15,5000
31,31,1.0141638999999714,77.0,490,0.15,5000
32,32,1.0495399000000134,80.0,490,0.15,5000
33,33,1.086645199999964,80.0,490,0.15,5000
34,34,1.1245672000000013,80.0,490,0.15,5000
35,35,1.1626832000000036,80.0,490,0.15,5000
36,36,1.2004069999999842,81.0,490,0.15,5000
37,37,1.2349386999999865,85.0,490,0.15,5000
38,38,1.2694913999999926,85.0,490,0.15,5000
39,39,1.3035585000000083,85.0,490,0.15,5000
40,40,1.3379970999999955,85.0,490,0.15,5000
41,41,1.3722252999999682,85.0,490,0.15,5000
42,42,1.406694200000004,85.0,490,0.15,5000
43,43,1.4418503999999643,86.0,490,0.15,5000
44,44,1.4777649999999767,86.0,490,0.15,5000
45,45,1.5141320000000178,86.0,490,0.15,5000
46,46,1.5504523000000177,86.0,490,0.15,5000
47,47,1.5868423999999663,86.0,490,0.15,5000
48,48,1.6231070000000045,86.0,490,0.15,5000
49,49,1.6596419999999625,86.0,490,0.15,5000
50,50,1.6967384999999808,86.0,490,0.15,5000
51,51,1.7336419999999748,86.0,490,0.15,5000
52,52,1.770156600000007,86.0,490,0.15,5000
53,53,1.8074786999999901,86.0,490,0.15,5000
54,54,1.8462061999999833,86.0,490,0.15,5000
55,55,1.8839421999999786,86.0,490,0.15,5000
56,56,1.9211996999999883,86.0,490,0.15,5000
57,57,1.958283100000017,86.0,490,0.15,5000
58,58,1.9958073999999897,86.0,490,0.15,5000
59,59,2.032987800000001,86.0,490,0.15,5000
60,60,2.0686764000000153,86.0,490,0.15,5000
61,61,2.1042903000000024,86.0,490,0.15,5000
62,62,2.139660699999979,86.0,490,0.15,5000
63,63,2.1751385999999684,86.0,490,0.15,5000
64,64,2.210206900000003,86.0,490,0.15,5000
65,65,2.2453484999999773,86.0,490,0.15,5000
66,66,2.2806764000000044,86.0,490,0.15,5000
67,67,2.31580009999999,86.0,490,0.15,5000
68,68,2.350693299999989,86.0,490,0.15,5000
69,69,2.385736099999974,86.0,490,0.15,5000
70,70,2.4207178999999996,86.0,490,0.15,5000
71,71,2.4559029000000123,86.0,490,0.15,5000
72,72,2.4912843999999836,86.0,490,0.15,5000
73,73,2.5266718999999966,86.0,490,0.15,5000
74,74,2.5618005999999696,86.0,490,0.15,5000
75,75,2.596823400000005,86.0,490,0.15,5000
76,76,2.632081900000003,86.0,490,0.15,5000
77,77,2.6670972000000006,86.0,490,0.15,5000
78,78,2.702138899999966,86.0,490,0.15,5000
79,79,2.7371186999999964,86.0,490,0.15,5000
80,80,2.7722789000000034,86.0,490,0.15,5000
81,81,2.8073329999999714,86.0,490,0.15,5000
82,82,2.8423859999999763,86.0,490,0.15,5000
83,83,2.8773120999999833,86.0,490,0.15,5000
84,84,2.912185899999997,86.0,490,0.15,5000
85,85,2.947074999999984,86.0,490,0.15,5000
86,86,2.9823797999999897,86.0,490,0.15,5000
87,87,3.0172880999999734,86.0,490,0.15,5000
88,88,3.053822700000012,86.0,490,0.15,5000
89,89,3.090492900000015,86.0,490,0.15,5000
90,90,3.127025300000014,86.0,490,0.15,5000
91,91,3.163606200000004,86.0,490,0.15,5000
92,92,3.200318799999991,86.0,490,0.15,5000
93,93,3.239317900000003,86.0,490,0.15,5000
