,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.005084200000000649,1.0,True,370,0.35,100
1,1,0.01449129999999954,17.0,True,370,0.35,100
2,2,0.019335299999999833,17.0,True,370,0.35,100
3,3,0.024077800000000593,17.0,True,370,0.35,100
4,4,0.028929999999999012,17.0,True,370,0.35,100
5,5,0.033863600000000105,17.0,True,370,0.35,100
6,6,0.03892119999999899,17.0,True,370,0.35,100
7,7,0.04411460000000034,17.0,True,370,0.35,100
8,8,0.049467800000000395,17.0,True,370,0.35,100
9,9,0.0547266000000004,17.0,True,370,0.35,100
10,10,0.059894500000000406,17.0,True,370,0.35,100
11,11,0.06460509999999964,17.0,True,370,0.35,100
