,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00503439999999955,1.0,True,370,0.35,100
1,1,0.050896500000000344,11.0,True,370,0.35,100
2,2,0.09239279999999983,16.0,True,370,0.35,100
3,3,0.13199510000000014,16.0,True,370,0.35,100
4,4,0.16968349999999965,16.0,True,370,0.35,100
5,5,0.20937859999999997,16.0,True,370,0.35,100
6,6,0.24773390000000006,16.0,True,370,0.35,100
7,7,0.2881311999999996,16.0,True,370,0.35,100
8,8,0.32984349999999996,16.0,True,370,0.35,100
9,9,0.3678756000000005,19.0,True,370,0.35,100
10,10,0.4083773000000006,20.0,True,370,0.35,100
11,11,0.4565007999999997,20.0,True,370,0.35,100
12,12,0.49346469999999965,20.0,True,370,0.35,100
13,13,0.5343554999999993,22.0,True,370,0.35,100
14,14,0.5727485999999997,25.0,True,370,0.35,100
15,15,0.6186920999999996,25.0,True,370,0.35,100
16,16,0.6611567000000003,25.0,True,370,0.35,100
17,17,0.7039686999999999,100.0,True,370,0.35,100
18,18,0.7542038999999994,100.0,True,370,0.35,100
19,19,0.7942755999999997,100.0,True,370,0.35,100
20,20,0.8615477999999994,100.0,True,370,0.35,100
21,21,0.9299103000000004,100.0,True,370,0.35,100
22,22,0.9994702000000002,100.0,True,370,0.35,100
23,23,1.0684376000000002,100.0,True,370,0.35,100
24,24,1.1365001000000001,100.0,True,370,0.35,100
25,25,1.2052643000000005,100.0,True,370,0.35,100
26,26,1.2738570999999999,100.0,True,370,0.35,100
27,27,1.3426456999999994,100.0,True,370,0.35,100
