,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006230300000027,1.0,True,490,0.25,100
1,1,0.033035400000017034,10.0,True,490,0.25,100
2,2,0.051705200000014884,14.0,True,490,0.25,100
3,3,0.07442140000000563,14.0,True,490,0.25,100
4,4,0.0993722000000048,14.0,True,490,0.25,100
5,5,0.12269659999998339,15.0,True,490,0.25,100
6,6,0.1487362000000303,15.0,True,490,0.25,100
7,7,0.17177159999999958,17.0,True,490,0.25,100
8,8,0.1923232999999982,19.0,True,490,0.25,100
9,9,0.22073940000001357,19.0,True,490,0.25,100
10,10,0.24267620000000534,20.0,True,490,0.25,100
11,11,0.2731418999999846,20.0,True,490,0.25,100
12,12,0.2946054000000231,23.0,True,490,0.25,100
13,13,0.31615140000002384,25.0,True,490,0.25,100
14,14,0.35018139999999676,30.0,True,490,0.25,100
15,15,0.39018070000003036,30.0,True,490,0.25,100
16,16,0.43029230000001917,30.0,True,490,0.25,100
17,17,0.47061359999997876,30.0,True,490,0.25,100
18,18,0.5114490000000274,30.0,True,490,0.25,100
19,19,0.5520015000000171,30.0,True,490,0.25,100
