,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00373190000000001,1.0,False,280,0.05,100
1,1,0.6778415000000002,14.0,False,280,0.05,100
2,2,1.3882862000000002,17.0,False,280,0.05,100
3,3,2.0934764,17.0,False,280,0.05,100
4,4,2.7959664999999996,21.0,False,280,0.05,100
5,5,3.5020632999999997,21.0,False,280,0.05,100
6,6,4.1959449,21.0,False,280,0.05,100
7,7,4.9497843,21.0,False,280,0.05,100
8,8,5.6809857,21.0,False,280,0.05,100
9,9,6.3916878,21.0,False,280,0.05,100
10,10,7.1094405,21.0,False,280,0.05,100
11,11,7.8508054000000005,21.0,False,280,0.05,100
12,12,8.6162358,21.0,False,280,0.05,100
13,13,9.3735176,21.0,False,280,0.05,100
14,14,10.1171607,21.0,False,280,0.05,100
15,15,0.0035597000000002765,1.0,False,280,0.1,100
16,16,0.6757810000000006,11.0,False,280,0.1,100
17,17,1.3846089,13.0,False,280,0.1,100
18,18,2.0922882000000005,14.0,False,280,0.1,100
19,19,2.8086173999999993,14.0,False,280,0.1,100
20,20,3.546785699999999,19.0,False,280,0.1,100
21,21,4.2932956,23.0,False,280,0.1,100
22,22,5.0979955000000015,26.0,False,280,0.1,100
23,23,5.924509599999999,26.0,False,280,0.1,100
24,24,6.758596899999999,26.0,False,280,0.1,100
25,25,7.530566200000001,26.0,False,280,0.1,100
26,26,8.296824500000001,26.0,False,280,0.1,100
27,27,9.052518099999999,26.0,False,280,0.1,100
28,28,9.8060497,26.0,False,280,0.1,100
29,29,10.5646349,26.0,False,280,0.1,100
30,30,11.3180718,26.0,False,280,0.1,100
31,31,12.066426599999998,26.0,False,280,0.1,100
32,32,12.824542899999999,26.0,False,280,0.1,100
33,33,0.0035516000000015424,1.0,False,280,0.15000000000000002,100
34,34,0.6774616000000009,11.0,False,280,0.15000000000000002,100
35,35,1.3988938000000033,12.0,False,280,0.15000000000000002,100
36,36,2.1169233000000034,15.0,False,280,0.15000000000000002,100
37,37,2.8354669,15.0,False,280,0.15000000000000002,100
38,38,3.5523133000000016,19.0,False,280,0.15000000000000002,100
39,39,4.265988,19.0,False,280,0.15000000000000002,100
40,40,4.992469600000003,19.0,False,280,0.15000000000000002,100
41,41,5.713593300000003,19.0,False,280,0.15000000000000002,100
42,42,6.4403179,19.0,False,280,0.15000000000000002,100
43,43,7.149144500000002,19.0,False,280,0.15000000000000002,100
44,44,7.855368800000001,19.0,False,280,0.15000000000000002,100
45,45,8.598048500000004,19.0,False,280,0.15000000000000002,100
46,46,9.338192400000004,19.0,False,280,0.15000000000000002,100
47,47,10.075591600000003,19.0,False,280,0.15000000000000002,100
48,48,10.820196100000004,19.0,False,280,0.15000000000000002,100
49,49,0.003489600000001758,1.0,False,280,0.2,100
50,50,0.6735899000000032,11.0,False,280,0.2,100
51,51,1.3865685000000028,12.0,False,280,0.2,100
52,52,2.1021696000000034,15.0,False,280,0.2,100
53,53,2.815564700000003,15.0,False,280,0.2,100
54,54,3.528983700000005,65.0,False,280,0.2,100
55,55,4.248993900000002,65.0,False,280,0.2,100
56,56,4.966008700000003,65.0,False,280,0.2,100
57,57,5.6838105,65.0,False,280,0.2,100
58,58,6.391548300000004,65.0,False,280,0.2,100
59,59,7.106935,69.0,False,280,0.2,100
60,60,7.820751999999999,69.0,False,280,0.2,100
61,61,8.526063300000004,69.0,False,280,0.2,100
62,62,9.254293700000005,69.0,False,280,0.2,100
