,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,4.7699999996098086e-05,1.0,50,5000,0
1,1,0.004975999999999203,1.0,50,5000,0
2,2,0.0049982999999969024,1.0,50,5000,0
3,3,0.005015799999995352,1.0,50,5000,0
4,4,0.005031799999997588,1.0,50,5000,0
5,5,0.0050479999999950564,1.0,50,5000,0
6,6,0.0050631999999950494,1.0,50,5000,0
7,7,0.005078099999998642,1.0,50,5000,0
8,8,0.005093199999997466,1.0,50,5000,0
9,9,0.005108499999998628,1.0,50,5000,0
10,10,0.005123399999995115,1.0,50,5000,0
11,11,0.005138299999998708,1.0,50,5000,0
12,12,0.005153399999997532,1.0,50,5000,0
13,13,0.005168399999995188,1.0,50,5000,0
14,14,0.0051832999999987805,1.0,50,5000,0
15,15,0.005198299999996436,1.0,50,5000,0
16,16,0.00521309999999886,1.0,50,5000,0
17,17,0.005228400000000022,1.0,50,5000,0
18,18,0.005243499999998846,1.0,50,5000,0
19,19,0.005258599999997671,1.0,50,5000,0
20,20,0.005273799999997664,1.0,50,5000,0
21,21,0.005289099999998825,1.0,50,5000,0
22,22,0.005304299999998818,1.0,50,5000,0
23,23,0.005319699999994043,1.0,50,5000,0
24,24,0.005335399999999879,1.0,50,5000,0
25,25,0.0053508999999962725,1.0,50,5000,0
26,26,0.005366999999999678,1.0,50,5000,0
27,27,0.005382699999998408,1.0,50,5000,0
28,28,0.005404199999993864,2.0,50,5000,0
29,29,0.005425299999998856,2.0,50,5000,0
30,30,0.005443099999993706,2.0,50,5000,0
31,31,0.005459899999998186,2.0,50,5000,0
32,32,0.005476500000000328,2.0,50,5000,0
33,33,0.005492999999994197,2.0,50,5000,0
34,34,0.005509799999998677,2.0,50,5000,0
35,35,0.005526599999996051,2.0,50,5000,0
36,36,0.005544199999995669,2.0,50,5000,0
37,37,0.005561099999994212,2.0,50,5000,0
38,38,0.005578099999993924,2.0,50,5000,0
39,39,0.005594799999997235,2.0,50,5000,0
40,40,0.0056109999999947036,2.0,50,5000,0
41,41,0.005628099999995584,2.0,50,5000,0
42,42,0.005645199999996464,2.0,50,5000,0
43,43,0.0056622999999973445,2.0,50,5000,0
44,44,0.005679499999999393,2.0,50,5000,0
45,45,0.005696600000000274,2.0,50,5000,0
46,46,0.005718199999996898,3.0,50,5000,0
47,47,0.005736399999996422,3.0,50,5000,0
48,48,0.005754099999997209,3.0,50,5000,0
49,49,0.005771799999997995,3.0,50,5000,0
50,50,0.0057892999999964445,3.0,50,5000,0
51,51,0.005806999999997231,3.0,50,5000,0
52,52,0.00582449999999568,3.0,50,5000,0
53,53,0.005847599999995623,5.0,50,5000,0
54,54,0.005866099999998653,5.0,50,5000,0
55,55,0.0058845999999945775,5.0,50,5000,0
56,56,0.005903299999999945,5.0,50,5000,0
57,57,0.005921899999997038,5.0,50,5000,0
58,58,0.005940799999997637,5.0,50,5000,0
59,59,0.005960500000000479,5.0,50,5000,0
60,60,0.005979699999997479,5.0,50,5000,0
61,61,0.0059983999999957405,5.0,50,5000,0
62,62,0.006017999999997414,5.0,50,5000,0
63,63,0.00603779999999432,5.0,50,5000,0
64,64,0.006057099999999593,5.0,50,5000,0
65,65,0.006076000000000192,5.0,50,5000,0
66,66,0.0060949999999948545,5.0,50,5000,0
67,67,0.00611279999999681,5.0,50,5000,0
