,Iteration,Time,Fitness,Temperature,max_iters
0,0,5.209999999999937e-05,1.0,4,10000
1,1,0.0054522999999999655,1.0,4,10000
2,2,0.005483000000000349,1.0,4,10000
3,3,0.005505800000000338,2.0,4,10000
4,4,0.005529500000000187,2.0,4,10000
5,5,0.005552800000000246,2.0,4,10000
6,6,0.0055755000000004,2.0,4,10000
7,7,0.0055979000000001555,2.0,4,10000
8,8,0.005620300000000356,2.0,4,10000
9,9,0.005642800000000392,2.0,4,10000
10,10,0.005665000000000031,2.0,4,10000
11,11,0.005694800000000111,2.0,4,10000
12,12,0.005717800000000217,2.0,4,10000
13,13,0.005740100000000137,2.0,4,10000
14,14,0.00576230000000022,2.0,4,10000
15,15,0.005784400000000023,2.0,4,10000
16,16,0.005803000000000225,2.0,4,10000
17,17,0.005825399999999981,2.0,4,10000
18,18,0.005847000000000158,2.0,4,10000
19,19,0.005868600000000335,2.0,4,10000
20,20,0.005890100000000231,2.0,4,10000
21,21,0.005911800000000245,2.0,4,10000
22,22,0.005933399999999978,2.0,4,10000
23,23,0.005955200000000271,2.0,4,10000
24,24,0.005977000000000121,2.0,4,10000
25,25,0.005998799999999971,2.0,4,10000
26,26,0.0060211000000003345,2.0,4,10000
27,27,0.0060427000000000675,2.0,4,10000
28,28,0.006064199999999964,2.0,4,10000
29,29,0.006085800000000141,2.0,4,10000
30,30,0.006107300000000038,2.0,4,10000
31,31,0.006129000000000051,2.0,4,10000
32,32,0.006150600000000228,2.0,4,10000
33,33,0.006172199999999961,2.0,4,10000
34,34,0.006194000000000255,2.0,4,10000
35,35,0.006215800000000105,2.0,4,10000
36,36,0.006237800000000071,2.0,4,10000
37,37,0.0062598000000000376,2.0,4,10000
38,38,0.006282000000000121,2.0,4,10000
39,39,0.006304100000000368,2.0,4,10000
40,40,0.006325800000000381,2.0,4,10000
41,41,0.006347700000000067,2.0,4,10000
42,42,0.006369700000000034,2.0,4,10000
43,43,0.0063917,2.0,4,10000
44,44,0.006413900000000083,2.0,4,10000
45,45,0.00643600000000033,2.0,4,10000
46,46,0.00645880000000032,2.0,4,10000
47,47,0.006481200000000076,2.0,4,10000
48,48,0.006503600000000276,2.0,4,10000
49,49,0.006526100000000312,2.0,4,10000
50,50,0.006548200000000115,2.0,4,10000
51,51,0.006570600000000315,2.0,4,10000
52,52,0.006593000000000071,1.0,4,10000
53,53,0.006615200000000154,1.0,4,10000
54,54,0.0066374000000002376,1.0,4,10000
55,55,0.006659400000000204,1.0,4,10000
56,56,0.006699100000000069,1.0,4,10000
57,57,0.006723500000000104,1.0,4,10000
58,58,0.006746000000000141,1.0,4,10000
59,59,0.0067694000000000365,1.0,4,10000
60,60,0.0067917000000004,1.0,4,10000
61,61,0.006814300000000273,1.0,4,10000
62,62,0.006836500000000356,1.0,4,10000
63,63,0.006858900000000112,1.0,4,10000
64,64,0.006881300000000312,1.0,4,10000
65,65,0.006903900000000185,1.0,4,10000
66,66,0.006926500000000058,1.0,4,10000
67,67,0.006949100000000374,1.0,4,10000
68,68,0.006971599999999967,1.0,4,10000
69,69,0.0069942000000002835,1.0,4,10000
70,70,0.007016800000000156,1.0,4,10000
71,71,0.007039500000000309,1.0,4,10000
72,72,0.007061900000000065,1.0,4,10000
73,73,0.007086600000000054,1.0,4,10000
74,74,0.007109900000000113,1.0,4,10000
75,75,0.007132800000000383,1.0,4,10000
76,76,0.007155500000000092,1.0,4,10000
77,77,0.007178300000000082,1.0,4,10000
78,78,0.007201000000000235,1.0,4,10000
79,79,0.007223700000000388,1.0,4,10000
80,80,0.007246300000000261,1.0,4,10000
81,81,0.007269200000000087,1.0,4,10000
82,82,0.00729190000000024,1.0,4,10000
83,83,0.007314500000000113,1.0,4,10000
84,84,0.007337300000000102,1.0,4,10000
85,85,0.007360300000000208,1.0,4,10000
86,86,0.0073838000000003845,1.0,4,10000
87,87,0.007407900000000023,1.0,4,10000
88,88,0.007431200000000082,1.0,4,10000
89,89,0.007456200000000024,2.0,4,10000
90,90,0.007480300000000106,2.0,4,10000
91,91,0.007504400000000189,2.0,4,10000
92,92,0.0075289000000000605,2.0,4,10000
93,93,0.007553300000000096,2.0,4,10000
94,94,0.007576800000000272,0.0,4,10000
95,95,0.007599900000000215,0.0,4,10000
96,96,0.007622800000000041,0.0,4,10000
97,97,0.00764560000000003,0.0,4,10000
98,98,0.007668699999999973,0.0,4,10000
99,99,0.007697500000000357,0.0,4,10000
100,100,0.007721300000000042,0.0,4,10000
101,101,0.007744500000000265,0.0,4,10000
102,102,0.007767600000000208,0.0,4,10000
103,103,0.007790799999999987,0.0,4,10000
104,104,0.007813700000000257,0.0,4,10000
105,105,0.007836600000000082,0.0,4,10000
106,106,0.007859500000000352,0.0,4,10000
107,107,0.007884200000000341,0.0,4,10000
108,108,0.007907700000000073,0.0,4,10000
109,109,0.007931000000000132,0.0,4,10000
110,110,0.007954100000000075,0.0,4,10000
111,111,0.007977200000000018,0.0,4,10000
112,112,0.00800029999999996,0.0,4,10000
113,113,0.008023800000000136,0.0,4,10000
114,114,0.008047400000000149,0.0,4,10000
115,115,0.008071200000000278,0.0,4,10000
116,116,0.008095100000000244,0.0,4,10000
117,117,0.00811900000000021,0.0,4,10000
118,118,0.008143100000000292,0.0,4,10000
119,119,0.008167500000000327,0.0,4,10000
120,120,0.008191700000000246,0.0,4,10000
121,121,0.008215900000000165,0.0,4,10000
122,122,0.008239899999999967,0.0,4,10000
123,123,0.008263900000000213,0.0,4,10000
124,124,0.008287800000000178,0.0,4,10000
125,125,0.00831179999999998,0.0,4,10000
126,126,0.008335800000000226,0.0,4,10000
127,127,0.008361500000000355,0.0,4,10000
128,128,0.008386200000000343,0.0,4,10000
129,129,0.008410400000000262,3.0,4,10000
130,130,0.00843650000000018,3.0,4,10000
131,131,0.008462900000000051,3.0,4,10000
132,132,0.008489500000000039,3.0,4,10000
133,133,0.008515900000000354,3.0,4,10000
