,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.1663884000000735,470.0,490,0.15,5000
1,1,0.36268810000001395,562.0,490,0.15,5000
2,2,0.5546229999999923,624.0,490,0.15,5000
3,3,0.7445308999999725,624.0,490,0.15,5000
4,4,0.935190900000066,624.0,490,0.15,5000
5,5,1.1241727999999966,624.0,490,0.15,5000
6,6,1.3134269000000813,624.0,490,0.15,5000
7,7,1.502840200000037,648.0,490,0.15,5000
8,8,1.6937689000000091,725.0,490,0.15,5000
9,9,1.8825506000000587,725.0,490,0.15,5000
10,10,2.0725135000000137,725.0,490,0.15,5000
11,11,2.2625686999999743,725.0,490,0.15,5000
12,12,2.4526885999999877,725.0,490,0.15,5000
13,13,2.6439399000000776,799.0,490,0.15,5000
14,14,2.8357684000000063,799.0,490,0.15,5000
15,15,3.029697199999987,799.0,490,0.15,5000
16,16,3.2252912999999808,799.0,490,0.15,5000
17,17,3.4203410999999733,812.0,490,0.15,5000
18,18,3.617442100000062,863.0,490,0.15,5000
19,19,3.8087074999999686,863.0,490,0.15,5000
20,20,3.9959767000000284,863.0,490,0.15,5000
21,21,4.185931900000014,863.0,490,0.15,5000
22,22,4.375701800000002,863.0,490,0.15,5000
23,23,4.5653495999999905,909.0,490,0.15,5000
24,24,4.7527743000000555,909.0,490,0.15,5000
25,25,4.94450710000001,910.0,490,0.15,5000
26,26,5.137095900000077,947.0,490,0.15,5000
27,27,5.328494999999975,947.0,490,0.15,5000
28,28,5.521571600000016,947.0,490,0.15,5000
29,29,5.710426900000016,947.0,490,0.15,5000
30,30,5.902712700000052,947.0,490,0.15,5000
31,31,6.095790800000032,947.0,490,0.15,5000
32,32,6.286524200000031,947.0,490,0.15,5000
33,33,6.478864600000065,947.0,490,0.15,5000
34,34,6.673693000000071,947.0,490,0.15,5000
35,35,6.865659600000072,947.0,490,0.15,5000
36,36,7.057745899999986,947.0,490,0.15,5000
37,37,7.24768610000001,947.0,490,0.15,5000
38,38,7.439252500000066,947.0,490,0.15,5000
39,39,7.631606300000044,947.0,490,0.15,5000
40,40,7.823472100000004,947.0,490,0.15,5000
41,41,8.0142429,947.0,490,0.15,5000
42,42,8.206449900000052,947.0,490,0.15,5000
43,43,8.399263500000075,947.0,490,0.15,5000
44,44,8.592551200000003,947.0,490,0.15,5000
45,45,8.784480799999983,947.0,490,0.15,5000
46,46,8.975406399999997,947.0,490,0.15,5000
47,47,9.165723400000047,947.0,490,0.15,5000
48,48,9.355898900000057,947.0,490,0.15,5000
49,49,9.547476299999971,947.0,490,0.15,5000
50,50,9.739031000000068,947.0,490,0.15,5000
51,51,9.928271100000075,947.0,490,0.15,5000
52,52,10.11645610000005,947.0,490,0.15,5000
53,53,10.30803990000004,947.0,490,0.15,5000
54,54,10.498825800000077,947.0,490,0.15,5000
55,55,10.690374200000065,947.0,490,0.15,5000
56,56,10.882824600000049,947.0,490,0.15,5000
57,57,11.07349350000004,947.0,490,0.15,5000
58,58,11.264659400000028,947.0,490,0.15,5000
59,59,11.456329100000062,947.0,490,0.15,5000
60,60,11.648855300000037,947.0,490,0.15,5000
61,61,11.840654700000073,947.0,490,0.15,5000
62,62,12.032686600000034,947.0,490,0.15,5000
63,63,12.222229500000026,947.0,490,0.15,5000
64,64,12.412802600000077,947.0,490,0.15,5000
65,65,12.60516890000008,947.0,490,0.15,5000
66,66,12.797800300000063,947.0,490,0.15,5000
67,67,12.990160800000012,947.0,490,0.15,5000
68,68,13.180649000000017,947.0,490,0.15,5000
69,69,13.371946999999977,947.0,490,0.15,5000
70,70,13.563151700000049,947.0,490,0.15,5000
71,71,13.754747300000076,947.0,490,0.15,5000
72,72,13.945067699999981,947.0,490,0.15,5000
73,73,14.135339000000045,947.0,490,0.15,5000
74,74,14.326663199999984,947.0,490,0.15,5000
75,75,14.51727219999998,947.0,490,0.15,5000
76,76,14.710950600000047,947.0,490,0.15,5000
77,77,14.903008500000055,947.0,490,0.15,5000
78,78,15.099830999999995,947.0,490,0.15,5000
79,79,15.292915600000015,947.0,490,0.15,5000
80,80,15.484705100000042,947.0,490,0.15,5000
81,81,15.67639440000005,947.0,490,0.15,5000
82,82,15.868588600000066,947.0,490,0.15,5000
83,83,16.061444700000038,947.0,490,0.15,5000
84,84,16.254402700000014,947.0,490,0.15,5000
85,85,16.446405200000072,947.0,490,0.15,5000
86,86,16.64009340000007,947.0,490,0.15,5000
87,87,16.831619400000022,947.0,490,0.15,5000
88,88,17.024027700000033,947.0,490,0.15,5000
89,89,17.216441799999984,947.0,490,0.15,5000
90,90,17.40910960000008,947.0,490,0.15,5000
91,91,17.602559000000042,947.0,490,0.15,5000
92,92,17.795969600000035,947.0,490,0.15,5000
93,93,17.98827200000005,947.0,490,0.15,5000
94,94,18.17924849999997,947.0,490,0.15,5000
95,95,18.371706700000004,947.0,490,0.15,5000
96,96,18.566567899999995,947.0,490,0.15,5000
97,97,18.760722400000077,947.0,490,0.15,5000
98,98,18.95360949999997,947.0,490,0.15,5000
99,99,19.145219500000053,947.0,490,0.15,5000
100,100,19.337615200000073,947.0,490,0.15,5000
101,101,19.52925360000006,947.0,490,0.15,5000
102,102,19.722896500000047,947.0,490,0.15,5000
103,103,19.91543660000002,947.0,490,0.15,5000
104,104,20.108411600000068,947.0,490,0.15,5000
105,105,20.301817400000004,947.0,490,0.15,5000
106,106,20.49394600000005,947.0,490,0.15,5000
107,107,20.689655399999992,947.0,490,0.15,5000
108,108,20.882390299999997,947.0,490,0.15,5000
109,109,21.074703399999976,947.0,490,0.15,5000
110,110,21.266459600000076,947.0,490,0.15,5000
111,111,21.45953300000008,947.0,490,0.15,5000
112,112,21.653951099999972,947.0,490,0.15,5000
113,113,21.84925020000003,947.0,490,0.15,5000
114,114,22.04208760000006,947.0,490,0.15,5000
115,115,22.234735399999977,947.0,490,0.15,5000
116,116,22.42884479999998,947.0,490,0.15,5000
117,117,22.620714200000066,947.0,490,0.15,5000
118,118,22.814684600000078,947.0,490,0.15,5000
119,119,23.006868000000054,947.0,490,0.15,5000
120,120,23.19925520000004,947.0,490,0.15,5000
121,121,23.392043400000034,947.0,490,0.15,5000
122,122,23.583345699999995,947.0,490,0.15,5000
123,123,23.7769356,947.0,490,0.15,5000
124,124,23.96934280000005,947.0,490,0.15,5000
125,125,24.160866300000066,947.0,490,0.15,5000
126,126,24.353245000000015,947.0,490,0.15,5000
