,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.04189650000000711,470.0,100,0.05,5000
1,1,0.08865769999999884,515.0,100,0.05,5000
2,2,0.12818020000003116,573.0,100,0.05,5000
3,3,0.16751970000001393,573.0,100,0.05,5000
4,4,0.20731110000002673,577.0,100,0.05,5000
5,5,0.24615890000001173,585.0,100,0.05,5000
6,6,0.2851831000000402,585.0,100,0.05,5000
7,7,0.3243151000000353,585.0,100,0.05,5000
8,8,0.3644557000000077,607.0,100,0.05,5000
9,9,0.4039734000000408,695.0,100,0.05,5000
10,10,0.4431486000000291,695.0,100,0.05,5000
11,11,0.48268900000005033,739.0,100,0.05,5000
12,12,0.5215227000000482,739.0,100,0.05,5000
13,13,0.5608683000000383,739.0,100,0.05,5000
14,14,0.6066142000000241,754.0,100,0.05,5000
15,15,0.6455481000000418,754.0,100,0.05,5000
16,16,0.6847210000000246,812.0,100,0.05,5000
17,17,0.7240394000000379,812.0,100,0.05,5000
18,18,0.7621331000000282,812.0,100,0.05,5000
19,19,0.8014626000000362,820.0,100,0.05,5000
20,20,0.8409627999999998,820.0,100,0.05,5000
21,21,0.8803704000000039,883.0,100,0.05,5000
22,22,0.918763800000022,883.0,100,0.05,5000
23,23,0.9586022000000298,917.0,100,0.05,5000
24,24,0.9974406000000045,917.0,100,0.05,5000
25,25,1.0371592000000192,947.0,100,0.05,5000
26,26,1.0762936000000423,947.0,100,0.05,5000
27,27,1.1154082000000471,947.0,100,0.05,5000
28,28,1.1545670000000428,947.0,100,0.05,5000
29,29,1.1936943000000042,947.0,100,0.05,5000
30,30,1.2318441000000462,947.0,100,0.05,5000
31,31,1.27154900000005,947.0,100,0.05,5000
32,32,1.311055500000009,947.0,100,0.05,5000
33,33,1.3510658000000149,947.0,100,0.05,5000
34,34,1.3905426000000034,947.0,100,0.05,5000
35,35,1.4303624000000354,947.0,100,0.05,5000
36,36,1.4694759000000204,947.0,100,0.05,5000
37,37,1.5086574000000041,947.0,100,0.05,5000
38,38,1.54811380000001,947.0,100,0.05,5000
39,39,1.5878737000000456,947.0,100,0.05,5000
40,40,1.6275914000000284,947.0,100,0.05,5000
