,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.004288099999996575,1.0,200,0.01,500
1,1,0.02891039999997247,10.0,200,0.01,500
2,2,0.041904399999964426,10.0,200,0.01,500
3,3,0.053868599999987055,10.0,200,0.01,500
4,4,0.06829729999998335,11.0,200,0.01,500
5,5,0.08125059999997575,14.0,200,0.01,500
6,6,0.09400039999997034,64.0,200,0.01,500
7,7,0.10682470000000421,64.0,200,0.01,500
8,8,0.1191934999999944,65.0,200,0.01,500
9,9,0.13195369999999684,65.0,200,0.01,500
10,10,0.14507670000000417,68.0,200,0.01,500
11,11,0.15829059999998663,68.0,200,0.01,500
12,12,0.1709261999999967,68.0,200,0.01,500
13,13,0.18407679999995707,68.0,200,0.01,500
14,14,0.20182019999998602,71.0,200,0.01,500
15,15,0.21767739999995683,71.0,200,0.01,500
16,16,0.23531029999998054,71.0,200,0.01,500
17,17,0.251733999999999,71.0,200,0.01,500
18,18,0.268301699999995,71.0,200,0.01,500
19,19,0.2850955999999769,71.0,200,0.01,500
20,20,0.30101980000000594,71.0,200,0.01,500
21,21,0.31940799999995306,71.0,200,0.01,500
22,22,0.3361385000000041,72.0,200,0.01,500
23,23,0.35141169999997146,73.0,200,0.01,500
24,24,0.3674058999999943,73.0,200,0.01,500
25,25,0.3814098999999942,73.0,200,0.01,500
26,26,0.39583509999999933,73.0,200,0.01,500
27,27,0.4100525999999718,85.0,200,0.01,500
28,28,0.426098799999977,85.0,200,0.01,500
29,29,0.4424194999999713,85.0,200,0.01,500
30,30,0.455471799999998,85.0,200,0.01,500
31,31,0.46830369999997856,85.0,200,0.01,500
32,32,0.4812920999999619,85.0,200,0.01,500
33,33,0.4940471999999545,88.0,200,0.01,500
34,34,0.5069318999999837,91.0,200,0.01,500
35,35,0.5202370999999744,91.0,200,0.01,500
36,36,0.5332655999999929,91.0,200,0.01,500
37,37,0.546523499999978,91.0,200,0.01,500
38,38,0.5595448999999917,91.0,200,0.01,500
39,39,0.5728093999999828,91.0,200,0.01,500
40,40,0.5859515999999871,91.0,200,0.01,500
41,41,0.599454699999967,91.0,200,0.01,500
42,42,0.6127330999999572,91.0,200,0.01,500
43,43,0.6269682999999873,91.0,200,0.01,500
44,44,0.6404598999999962,91.0,200,0.01,500
45,45,0.002692099999990205,1.0,200,0.02,500
46,46,0.020235700000000634,10.0,200,0.02,500
47,47,0.03176110000003973,11.0,200,0.02,500
48,48,0.04329410000002554,13.0,200,0.02,500
49,49,0.05493749999999409,13.0,200,0.02,500
50,50,0.06713139999999385,59.0,200,0.02,500
51,51,0.07985489999998663,63.0,200,0.02,500
52,52,0.09261780000002773,63.0,200,0.02,500
53,53,0.10553020000003244,68.0,200,0.02,500
54,54,0.11948730000000296,68.0,200,0.02,500
55,55,0.1321020000000317,70.0,200,0.02,500
56,56,0.1443386999999916,72.0,200,0.02,500
57,57,0.156646300000034,72.0,200,0.02,500
58,58,0.16901139999998804,72.0,200,0.02,500
59,59,0.181465199999991,72.0,200,0.02,500
60,60,0.19583800000003748,72.0,200,0.02,500
61,61,0.21018060000000105,72.0,200,0.02,500
62,62,0.2238140000000044,72.0,200,0.02,500
63,63,0.236624900000038,72.0,200,0.02,500
64,64,0.24984340000003158,72.0,200,0.02,500
65,65,0.2623762000000056,72.0,200,0.02,500
66,66,0.27519010000003163,72.0,200,0.02,500
67,67,0.002558499999963715,1.0,200,0.03,500
68,68,0.021266400000001795,10.0,200,0.03,500
69,69,0.033916699999963384,11.0,200,0.03,500
70,70,0.04601989999997613,11.0,200,0.03,500
71,71,0.05806009999997741,60.0,200,0.03,500
72,72,0.06951629999997522,60.0,200,0.03,500
73,73,0.08132619999997814,63.0,200,0.03,500
74,74,0.09376379999997653,63.0,200,0.03,500
75,75,0.1056744999999637,64.0,200,0.03,500
76,76,0.11810850000000528,64.0,200,0.03,500
77,77,0.13006689999997434,66.0,200,0.03,500
78,78,0.14230409999998983,66.0,200,0.03,500
79,79,0.15476809999995567,66.0,200,0.03,500
80,80,0.1670876000000021,66.0,200,0.03,500
81,81,0.1791058000000021,66.0,200,0.03,500
82,82,0.19179209999998648,66.0,200,0.03,500
83,83,0.20373089999998228,68.0,200,0.03,500
84,84,0.2159714000000008,68.0,200,0.03,500
85,85,0.22828199999997878,68.0,200,0.03,500
86,86,0.24202869999999166,69.0,200,0.03,500
87,87,0.25547019999999065,69.0,200,0.03,500
88,88,0.26857559999996283,69.0,200,0.03,500
89,89,0.28111849999999095,69.0,200,0.03,500
90,90,0.2936439000000064,71.0,200,0.03,500
91,91,0.30629379999999173,71.0,200,0.03,500
