,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,31.0,0.00515789999997196,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.01,100
1,100,33.0,0.07925579999999854,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.01,100
2,0,31.0,0.004029600000023947,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.02,100
3,100,33.0,0.06702569999998786,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.02,100
4,0,31.0,0.0038069999999947868,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.03,100
5,100,33.0,0.06577849999996488,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.03,100
6,0,31.0,0.0037654999999858774,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.04,100
7,100,33.0,0.06321520000000191,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.04,100
8,0,31.0,0.005037700000002587,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.05,100
9,100,33.0,0.07547950000002857,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.05,100
10,0,31.0,0.004498400000045422,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.060000000000000005,100
11,100,33.0,0.07103610000001481,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.060000000000000005,100
12,0,31.0,0.004711400000019239,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.06999999999999999,100
13,100,33.0,0.0791997999999694,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.06999999999999999,100
14,0,31.0,0.004835899999989124,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.08,100
15,100,33.0,0.07428709999999228,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.08,100
16,0,31.0,0.004299199999991288,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.09,100
17,100,33.0,0.0688043000000107,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.09,100
18,0,31.0,0.004435000000000855,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.09999999999999999,100
19,100,33.0,0.06867789999995466,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.09999999999999999,100
20,0,31.0,0.003984000000002652,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.11,100
21,100,33.0,0.06795540000001665,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.11,100
22,0,31.0,0.003985100000022612,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.12,100
23,100,33.0,0.0681241000000341,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.12,100
24,0,31.0,0.004054100000018934,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.13,100
25,100,33.0,0.06717000000003281,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.13,100
26,0,31.0,0.005329700000004323,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.14,100
27,100,33.0,0.08860660000004827,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.14,100
28,0,31.0,0.004321500000003198,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.15000000000000002,100
29,100,33.0,0.07564660000002732,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.15000000000000002,100
30,0,31.0,0.00508049999996274,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.16,100
31,100,33.0,0.0703096999999957,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.16,100
32,0,31.0,0.0041378999999892585,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.17,100
33,100,33.0,0.06920109999998658,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.17,100
34,0,31.0,0.003861100000051465,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.18000000000000002,100
35,100,33.0,0.06494860000003655,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.18000000000000002,100
36,0,31.0,0.004061100000001261,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.19,100
37,100,33.0,0.06928269999997383,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.19,100
38,0,31.0,0.004361899999992147,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.2,100
39,100,33.0,0.07398669999997765,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.2,100
40,0,31.0,0.005249900000023899,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.21000000000000002,100
41,100,33.0,0.07445380000001478,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",150,0.21000000000000002,100
42,0,31.0,0.004120399999976598,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.22,100
43,100,33.0,0.06853410000002214,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",150,0.22,100
44,0,31.0,0.003704299999981231,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.23,100
45,100,33.0,0.06520759999995107,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",150,0.23,100
46,0,31.0,0.0037869999999884385,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.24000000000000002,100
47,100,33.0,0.06672140000000581,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",150,0.24000000000000002,100
48,0,31.0,0.004084799999986899,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.25,100
49,100,33.0,0.06774089999998978,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.25,100
50,0,31.0,0.004452300000025389,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.26,100
51,100,33.0,0.0704364000000055,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.26,100
52,0,31.0,0.003797299999973802,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.27,100
