,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.007191800000001081,0.0,False,200,0.45,100
1,1,1.6695318999999955,0.0,False,200,0.45,100
2,2,3.455692099999993,0.0,False,200,0.45,100
3,3,5.239607699999993,0.0,False,200,0.45,100
4,4,6.986886299999995,807.0,False,200,0.45,100
5,5,8.7378389,831.0,False,200,0.45,100
6,6,10.476589200000006,831.0,False,200,0.45,100
7,7,12.226210000000009,855.0,False,200,0.45,100
8,8,13.980330199999997,855.0,False,200,0.45,100
9,9,15.759934200000004,855.0,False,200,0.45,100
10,10,17.539485500000012,855.0,False,200,0.45,100
11,11,19.309884100000005,855.0,False,200,0.45,100
12,12,21.1415983,855.0,False,200,0.45,100
