,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006112600000000246,0.0,False,200,0.45,100
1,1,1.6920870000000003,0.0,False,200,0.45,100
2,2,3.3700531999999996,0.0,False,200,0.45,100
3,3,5.080169099999999,0.0,False,200,0.45,100
4,4,6.7758825,807.0,False,200,0.45,100
5,5,8.504797199999999,831.0,False,200,0.45,100
6,6,10.1890179,831.0,False,200,0.45,100
7,7,11.8743885,855.0,False,200,0.45,100
8,8,13.549944400000001,855.0,False,200,0.45,100
9,9,15.2372169,855.0,False,200,0.45,100
10,10,16.875732199999998,855.0,False,200,0.45,100
11,11,18.5508839,855.0,False,200,0.45,100
12,12,20.2795306,855.0,False,200,0.45,100
