,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.004356999999998834,0.0,False,100,0.05,100
1,1,0.7248347000000024,0.0,False,100,0.05,100
2,2,1.4388024000000001,0.0,False,100,0.05,100
3,3,2.1555614000000034,0.0,False,100,0.05,100
4,4,2.8662952000000033,376.0,False,100,0.05,100
5,5,3.5860529999999997,376.0,False,100,0.05,100
6,6,4.296525000000003,376.0,False,100,0.05,100
7,7,4.993588099999997,376.0,False,100,0.05,100
8,8,5.700578499999999,376.0,False,100,0.05,100
9,9,6.421801899999998,376.0,False,100,0.05,100
10,10,0.002761899999995876,0.0,False,100,0.1,100
11,11,0.6808606999999967,0.0,False,100,0.1,100
12,12,1.4030782999999971,0.0,False,100,0.1,100
13,13,2.1257737999999975,0.0,False,100,0.1,100
14,14,2.848343099999994,376.0,False,100,0.1,100
15,15,3.5672639000000004,376.0,False,100,0.1,100
16,16,4.290986499999995,376.0,False,100,0.1,100
17,17,5.007377999999996,376.0,False,100,0.1,100
18,18,5.7268662999999975,376.0,False,100,0.1,100
19,19,6.449461399999997,376.0,False,100,0.1,100
20,20,0.0027089000000017904,0.0,False,100,0.15000000000000002,100
21,21,0.6704453999999984,0.0,False,100,0.15000000000000002,100
22,22,1.3946822999999995,0.0,False,100,0.15000000000000002,100
23,23,2.1151380000000017,0.0,False,100,0.15000000000000002,100
24,24,2.845579200000003,376.0,False,100,0.15000000000000002,100
25,25,3.564805700000001,376.0,False,100,0.15000000000000002,100
26,26,4.288492400000003,376.0,False,100,0.15000000000000002,100
27,27,5.015954300000004,376.0,False,100,0.15000000000000002,100
28,28,5.737261099999998,376.0,False,100,0.15000000000000002,100
29,29,6.463568299999999,376.0,False,100,0.15000000000000002,100
30,30,0.002806399999997211,0.0,False,100,0.2,100
31,31,0.6609390999999931,0.0,False,100,0.2,100
32,32,1.3844363000000044,0.0,False,100,0.2,100
33,33,2.0898045999999937,0.0,False,100,0.2,100
34,34,2.8045728999999966,376.0,False,100,0.2,100
35,35,3.5147963000000004,376.0,False,100,0.2,100
36,36,4.222979600000002,376.0,False,100,0.2,100
37,37,4.927364600000004,376.0,False,100,0.2,100
38,38,5.635673499999996,376.0,False,100,0.2,100
39,39,6.356750199999993,376.0,False,100,0.2,100
40,40,0.0029560999999915794,0.0,False,100,0.25,100
41,41,0.6790711999999957,0.0,False,100,0.25,100
42,42,1.4059735999999958,0.0,False,100,0.25,100
43,43,2.132899199999997,0.0,False,100,0.25,100
44,44,2.858407200000002,376.0,False,100,0.25,100
45,45,3.5645198999999934,376.0,False,100,0.25,100
46,46,4.260458499999999,376.0,False,100,0.25,100
47,47,4.955327099999991,376.0,False,100,0.25,100
48,48,5.642922799999994,376.0,False,100,0.25,100
49,49,6.3293238999999915,376.0,False,100,0.25,100
50,50,0.0027595999999903142,0.0,False,100,0.3,100
51,51,0.6842953000000023,0.0,False,100,0.3,100
52,52,1.4126619999999974,0.0,False,100,0.3,100
53,53,2.139433199999999,0.0,False,100,0.3,100
54,54,2.867890299999999,376.0,False,100,0.3,100
55,55,3.5924988000000013,376.0,False,100,0.3,100
56,56,4.327449899999991,376.0,False,100,0.3,100
57,57,5.054453299999992,376.0,False,100,0.3,100
58,58,5.797089299999996,376.0,False,100,0.3,100
59,59,6.524664700000002,376.0,False,100,0.3,100
60,60,0.0029454000000015412,0.0,False,100,0.35000000000000003,100
61,61,0.6787909000000099,0.0,False,100,0.35000000000000003,100
62,62,1.4087015000000065,0.0,False,100,0.35000000000000003,100
63,63,2.13537070000001,0.0,False,100,0.35000000000000003,100
64,64,2.857202500000014,376.0,False,100,0.35000000000000003,100
65,65,3.5830530000000067,376.0,False,100,0.35000000000000003,100
66,66,4.315050600000006,376.0,False,100,0.35000000000000003,100
67,67,5.04120850000001,376.0,False,100,0.35000000000000003,100
68,68,5.751594200000014,376.0,False,100,0.35000000000000003,100
69,69,6.454283700000005,376.0,False,100,0.35000000000000003,100
70,70,0.002830100000011271,0.0,False,100,0.4,100
71,71,0.6807140000000089,0.0,False,100,0.4,100
72,72,1.4120317,0.0,False,100,0.4,100
73,73,2.138727100000011,0.0,False,100,0.4,100
74,74,2.8746514000000047,376.0,False,100,0.4,100
75,75,3.599532300000007,376.0,False,100,0.4,100
76,76,4.329818000000003,376.0,False,100,0.4,100
77,77,5.054672300000007,376.0,False,100,0.4,100
78,78,5.779419900000008,376.0,False,100,0.4,100
79,79,6.503542500000009,376.0,False,100,0.4,100
80,80,0.003031299999989301,0.0,False,100,0.45,100
81,81,0.6750971999999962,0.0,False,100,0.45,100
82,82,1.4025640999999922,0.0,False,100,0.45,100
83,83,2.136625599999988,0.0,False,100,0.45,100
84,84,2.8651920999999874,376.0,False,100,0.45,100
85,85,3.6017393999999996,376.0,False,100,0.45,100
86,86,4.330992499999994,376.0,False,100,0.45,100
87,87,5.064167699999999,376.0,False,100,0.45,100
88,88,5.802422499999992,376.0,False,100,0.45,100
89,89,6.533089799999999,376.0,False,100,0.45,100
90,90,0.003087399999998297,0.0,False,100,0.5,100
91,91,0.6925177000000104,0.0,False,100,0.5,100
92,92,1.4350468000000092,0.0,False,100,0.5,100
93,93,2.178073800000007,0.0,False,100,0.5,100
94,94,2.916387400000005,376.0,False,100,0.5,100
95,95,3.643608900000004,376.0,False,100,0.5,100
96,96,4.3713453000000015,376.0,False,100,0.5,100
97,97,5.102725400000011,376.0,False,100,0.5,100
98,98,5.833240100000012,376.0,False,100,0.5,100
99,99,6.561974400000011,376.0,False,100,0.5,100
100,100,0.003075099999989561,0.0,False,100,0.55,100
101,101,0.6696457999999978,0.0,False,100,0.55,100
102,102,1.382382199999995,0.0,False,100,0.55,100
103,103,2.0975416999999936,0.0,False,100,0.55,100
104,104,2.8105221,376.0,False,100,0.55,100
105,105,3.5272263999999893,376.0,False,100,0.55,100
106,106,4.253554499999993,376.0,False,100,0.55,100
107,107,4.984792099999993,376.0,False,100,0.55,100
108,108,5.713348999999994,376.0,False,100,0.55,100
109,109,6.4403581999999915,376.0,False,100,0.55,100
110,110,0.0033638999999965336,0.0,False,100,0.6000000000000001,100
111,111,0.6828292999999945,0.0,False,100,0.6000000000000001,100
112,112,1.4412494000000038,0.0,False,100,0.6000000000000001,100
113,113,2.1715190000000035,0.0,False,100,0.6000000000000001,100
114,114,2.8988362999999993,376.0,False,100,0.6000000000000001,100
115,115,3.6269171,376.0,False,100,0.6000000000000001,100
116,116,4.350845300000003,376.0,False,100,0.6000000000000001,100
117,117,5.0631984000000045,376.0,False,100,0.6000000000000001,100
118,118,5.772976299999996,376.0,False,100,0.6000000000000001,100
119,119,6.489398199999997,376.0,False,100,0.6000000000000001,100
120,120,0.003219000000001415,0.0,False,100,0.6500000000000001,100
121,121,0.6836772999999994,0.0,False,100,0.6500000000000001,100
122,122,1.4111927000000009,0.0,False,100,0.6500000000000001,100
123,123,2.141776500000006,0.0,False,100,0.6500000000000001,100
124,124,2.8677378999999945,376.0,False,100,0.6500000000000001,100
125,125,3.616673700000007,376.0,False,100,0.6500000000000001,100
126,126,4.344087999999999,376.0,False,100,0.6500000000000001,100
127,127,5.059539299999997,376.0,False,100,0.6500000000000001,100
128,128,5.773163800000006,376.0,False,100,0.6500000000000001,100
129,129,6.492316100000011,376.0,False,100,0.6500000000000001,100
130,130,0.003072599999995873,0.0,False,100,0.7000000000000001,100
131,131,0.6815682000000152,0.0,False,100,0.7000000000000001,100
132,132,1.408039400000007,0.0,False,100,0.7000000000000001,100
133,133,2.140666300000021,0.0,False,100,0.7000000000000001,100
134,134,2.872394100000008,376.0,False,100,0.7000000000000001,100
135,135,3.601066599999996,376.0,False,100,0.7000000000000001,100
136,136,4.326975800000014,376.0,False,100,0.7000000000000001,100
137,137,5.059721100000019,376.0,False,100,0.7000000000000001,100
138,138,5.791424400000011,376.0,False,100,0.7000000000000001,100
139,139,6.521741399999996,376.0,False,100,0.7000000000000001,100
140,140,0.0030839000000071337,0.0,False,100,0.7500000000000001,100
141,141,0.6840569000000016,0.0,False,100,0.7500000000000001,100
142,142,1.408113400000019,0.0,False,100,0.7500000000000001,100
143,143,2.1378930000000196,0.0,False,100,0.7500000000000001,100
144,144,2.8609749999999963,376.0,False,100,0.7500000000000001,100
145,145,3.5784788999999932,376.0,False,100,0.7500000000000001,100
146,146,4.3032248000000095,376.0,False,100,0.7500000000000001,100
147,147,5.026014500000002,376.0,False,100,0.7500000000000001,100
148,148,5.750454200000007,376.0,False,100,0.7500000000000001,100
149,149,6.480818900000003,376.0,False,100,0.7500000000000001,100
150,150,0.0027106000000003405,0.0,False,100,0.8,100
151,151,0.6888381999999922,0.0,False,100,0.8,100
152,152,1.4156394000000034,0.0,False,100,0.8,100
153,153,2.145587699999993,0.0,False,100,0.8,100
154,154,2.875477599999982,376.0,False,100,0.8,100
155,155,3.604048899999981,376.0,False,100,0.8,100
156,156,4.330774199999979,376.0,False,100,0.8,100
157,157,5.0533836999999835,376.0,False,100,0.8,100
158,158,5.77995199999998,376.0,False,100,0.8,100
159,159,6.504532100000006,376.0,False,100,0.8,100
160,160,0.0027656999999976506,0.0,False,100,0.8500000000000001,100
161,161,0.6849970000000098,0.0,False,100,0.8500000000000001,100
162,162,1.4136019000000033,0.0,False,100,0.8500000000000001,100
163,163,2.1436180000000036,0.0,False,100,0.8500000000000001,100
164,164,2.870159599999994,376.0,False,100,0.8500000000000001,100
165,165,3.598887100000013,376.0,False,100,0.8500000000000001,100
166,166,4.329037700000015,376.0,False,100,0.8500000000000001,100
167,167,5.056670099999991,376.0,False,100,0.8500000000000001,100
168,168,5.782006499999994,376.0,False,100,0.8500000000000001,100
169,169,6.513058400000006,376.0,False,100,0.8500000000000001,100
170,170,0.002795800000001236,0.0,False,100,0.9000000000000001,100
171,171,0.6678325000000029,0.0,False,100,0.9000000000000001,100
172,172,1.3814718000000141,0.0,False,100,0.9000000000000001,100
173,173,2.0928494000000057,0.0,False,100,0.9000000000000001,100
174,174,2.808507700000007,376.0,False,100,0.9000000000000001,100
175,175,3.522743300000002,376.0,False,100,0.9000000000000001,100
176,176,4.240771099999989,376.0,False,100,0.9000000000000001,100
177,177,4.9610792,376.0,False,100,0.9000000000000001,100
178,178,5.674769099999992,376.0,False,100,0.9000000000000001,100
179,179,6.391245499999997,376.0,False,100,0.9000000000000001,100
180,180,0.0031453999999939697,0.0,False,100,0.9500000000000001,100
181,181,0.6713941000000148,0.0,False,100,0.9500000000000001,100
182,182,1.3895151000000112,0.0,False,100,0.9500000000000001,100
183,183,2.104622500000005,0.0,False,100,0.9500000000000001,100
184,184,2.8317322999999988,376.0,False,100,0.9500000000000001,100
185,185,3.564516200000014,376.0,False,100,0.9500000000000001,100
186,186,4.295240699999994,376.0,False,100,0.9500000000000001,100
187,187,5.021624900000006,376.0,False,100,0.9500000000000001,100
188,188,5.751493199999999,376.0,False,100,0.9500000000000001,100
189,189,6.479100899999992,376.0,False,100,0.9500000000000001,100
