,Iteration,Time,Fitness,Temperature,max_iters
0,0,8.009999999991635e-05,0.0,20,10000
1,1,0.006284799999999979,0.0,20,10000
2,2,0.006420199999999987,0.0,20,10000
3,3,0.006528199999999984,0.0,20,10000
4,4,0.006599699999999764,0.0,20,10000
5,5,0.006669799999999615,0.0,20,10000
6,6,0.006750299999999765,0.0,20,10000
7,7,0.0068109999999999005,0.0,20,10000
8,8,0.006893299999999769,0.0,20,10000
9,9,0.006961799999999574,0.0,20,10000
10,10,0.00705039999999979,0.0,20,10000
11,11,0.007107599999999881,0.0,20,10000
12,12,0.007245799999999747,0.0,20,10000
13,13,0.0073528999999998845,0.0,20,10000
14,14,0.007412199999999647,0.0,20,10000
15,15,0.00747109999999962,0.0,20,10000
16,16,0.007529599999999803,0.0,20,10000
17,17,0.007589499999999916,0.0,20,10000
18,18,0.0076480999999999355,0.0,20,10000
19,19,0.007706599999999675,0.0,20,10000
20,20,0.007764299999999835,0.0,20,10000
21,21,0.007822399999999785,0.0,20,10000
22,22,0.007880099999999945,0.0,20,10000
23,23,0.007938099999999615,0.0,20,10000
24,24,0.007996299999999845,0.0,20,10000
25,25,0.008053799999999889,0.0,20,10000
26,26,0.008112099999999955,0.0,20,10000
27,27,0.008169699999999835,0.0,20,10000
28,28,0.008231599999999784,0.0,20,10000
29,29,0.00829039999999992,0.0,20,10000
30,30,0.008349699999999682,0.0,20,10000
31,31,0.008408599999999655,0.0,20,10000
32,32,0.008466999999999558,0.0,20,10000
33,33,0.008525499999999742,0.0,20,10000
34,34,0.008583899999999645,0.0,20,10000
35,35,0.008641499999999969,0.0,20,10000
36,36,0.008700299999999661,0.0,20,10000
37,37,0.008759299999999914,0.0,20,10000
38,38,0.008817299999999584,0.0,20,10000
39,39,0.008898799999999873,0.0,20,10000
40,40,0.008974399999999605,0.0,20,10000
41,41,0.009033599999999975,0.0,20,10000
42,42,0.009091999999999878,0.0,20,10000
43,43,0.009150999999999687,0.0,20,10000
44,44,0.00924859999999983,0.0,20,10000
45,45,0.009307499999999802,0.0,20,10000
46,46,0.009366799999999564,0.0,20,10000
47,47,0.00942609999999977,0.0,20,10000
48,48,0.00948509999999958,0.0,20,10000
49,49,0.00954379999999988,0.0,20,10000
50,50,0.009602999999999806,0.0,20,10000
51,51,0.009661599999999826,0.0,20,10000
52,52,0.009719899999999893,0.0,20,10000
53,53,0.009778699999999585,0.0,20,10000
54,54,0.009837599999999558,0.0,20,10000
55,55,0.009896199999999578,0.0,20,10000
56,56,0.009954899999999878,0.0,20,10000
57,57,0.010014099999999804,0.0,20,10000
58,58,0.010073499999999846,0.0,20,10000
59,59,0.010133499999999795,0.0,20,10000
60,60,0.010192399999999768,0.0,20,10000
61,61,0.010317399999999921,0.0,20,10000
62,62,0.010414199999999596,0.0,20,10000
63,63,0.010538899999999796,0.0,20,10000
64,64,0.010658299999999787,0.0,20,10000
65,65,0.010765599999999598,0.0,20,10000
66,66,0.010853499999999627,0.0,20,10000
67,67,0.010916099999999762,0.0,20,10000
68,68,0.010989999999999611,0.0,20,10000
69,69,0.011049499999999934,0.0,20,10000
70,70,0.011108899999999977,0.0,20,10000
71,71,0.011168499999999693,0.0,20,10000
72,72,0.011229799999999734,0.0,20,10000
73,73,0.011291699999999683,0.0,20,10000
74,74,0.011351499999999959,0.0,20,10000
75,75,0.011411199999999955,0.0,20,10000
76,76,0.011471499999999857,0.0,20,10000
77,77,0.011531299999999689,0.0,20,10000
78,78,0.011591099999999965,0.0,20,10000
79,79,0.011656399999999678,0.0,20,10000
80,80,0.01171669999999958,0.0,20,10000
81,81,0.011776399999999576,0.0,20,10000
82,82,0.011836199999999852,0.0,20,10000
83,83,0.011896099999999965,0.0,20,10000
84,84,0.011955599999999844,0.0,20,10000
85,85,0.012015099999999723,0.0,20,10000
86,86,0.012074599999999602,0.0,20,10000
87,87,0.012133999999999645,0.0,20,10000
88,88,0.012193499999999968,0.0,20,10000
89,89,0.012256299999999776,0.0,20,10000
90,90,0.012316399999999561,0.0,20,10000
91,91,0.01237649999999979,0.0,20,10000
92,92,0.012435699999999716,0.0,20,10000
93,93,0.01249459999999969,0.0,20,10000
94,94,0.012553599999999943,0.0,20,10000
95,95,0.012612799999999869,0.0,20,10000
96,96,0.012674799999999653,0.0,20,10000
97,97,0.012735199999999836,0.0,20,10000
98,98,0.012794399999999762,0.0,20,10000
99,99,0.012854099999999757,0.0,20,10000
100,100,0.012913599999999636,0.0,20,10000
101,101,0.012972799999999562,0.0,20,10000
102,102,0.013032699999999675,0.0,20,10000
103,103,0.013092299999999835,0.0,20,10000
104,104,0.013151899999999994,0.0,20,10000
105,105,0.013211199999999756,0.0,20,10000
106,106,0.013270399999999682,0.0,20,10000
107,107,0.013331899999999841,0.0,20,10000
108,108,0.013392099999999907,0.0,20,10000
109,109,0.013452199999999692,0.0,20,10000
110,110,0.013511899999999688,0.0,20,10000
111,111,0.0135717999999998,0.0,20,10000
112,112,0.013632199999999983,0.0,20,10000
113,113,0.013695699999999977,0.0,20,10000
114,114,0.013756099999999716,0.0,20,10000
115,115,0.013816499999999898,0.0,20,10000
116,116,0.013876599999999684,0.0,20,10000
117,117,0.01393679999999975,0.0,20,10000
118,118,0.013997199999999932,0.0,20,10000
119,119,0.014057399999999998,0.0,20,10000
120,120,0.014117999999999853,0.0,20,10000
121,121,0.014178099999999638,0.0,20,10000
122,122,0.014238699999999938,0.0,20,10000
123,123,0.014299399999999629,0.0,20,10000
124,124,0.014359699999999975,0.0,20,10000
125,125,0.014420499999999947,0.0,20,10000
126,126,0.014481099999999802,0.0,20,10000
127,127,0.014543199999999867,0.0,20,10000
128,128,0.014604199999999956,0.0,20,10000
129,129,0.01466909999999988,0.0,20,10000
130,130,0.014731199999999944,0.0,20,10000
131,131,0.01479229999999987,0.0,20,10000
132,132,0.014853099999999841,0.0,20,10000
133,133,0.014914199999999767,0.0,20,10000
134,134,0.014974799999999622,0.0,20,10000
135,135,0.015035899999999991,0.0,20,10000
136,136,0.015096499999999846,0.0,20,10000
137,137,0.015157499999999935,0.0,20,10000
138,138,0.015218699999999696,0.0,20,10000
139,139,0.015279899999999902,0.0,20,10000
140,140,0.015341499999999897,0.0,20,10000
141,141,0.015402999999999611,0.0,20,10000
142,142,0.015464399999999934,0.0,20,10000
143,143,0.015525499999999859,0.0,20,10000
144,144,0.015586999999999573,0.0,20,10000
145,145,0.015650099999999778,0.0,20,10000
146,146,0.01571239999999996,0.0,20,10000
147,147,0.015773899999999674,0.0,20,10000
148,148,0.015835299999999997,0.0,20,10000
149,149,0.015898499999999594,0.0,20,10000
150,150,0.015959799999999635,0.0,20,10000
151,151,0.016022199999999653,0.0,20,10000
152,152,0.0160840999999996,0.0,20,10000
153,153,0.016145699999999596,0.0,20,10000
154,154,0.016207699999999825,0.0,20,10000
155,155,0.016269099999999703,0.0,20,10000
156,156,0.01633079999999998,0.0,20,10000
157,157,0.0163928999999996,0.0,20,10000
158,158,0.016454399999999758,0.0,20,10000
159,159,0.016515799999999636,0.0,20,10000
160,160,0.016577499999999912,0.0,20,10000
161,161,0.016638799999999954,0.0,20,10000
162,162,0.016703299999999643,0.0,20,10000
163,163,0.016765299999999872,0.0,20,10000
164,164,0.016827099999999984,0.0,20,10000
165,165,0.01688939999999972,0.0,20,10000
166,166,0.016951599999999623,0.0,20,10000
167,167,0.017013699999999687,0.0,20,10000
168,168,0.017075799999999752,0.0,20,10000
169,169,0.01713729999999991,0.0,20,10000
170,170,0.0172002,0.0,20,10000
171,171,0.017263499999999876,0.0,20,10000
172,172,0.017327199999999987,0.0,20,10000
173,173,0.017390399999999584,0.0,20,10000
174,174,0.01745449999999993,0.0,20,10000
175,175,0.017516799999999666,0.0,20,10000
176,176,0.017578699999999614,0.0,20,10000
177,177,0.017640599999999562,0.0,20,10000
178,178,0.017706199999999672,0.0,20,10000
179,179,0.017768799999999807,0.0,20,10000
180,180,0.017831199999999825,0.0,20,10000
181,181,0.017893499999999563,0.0,20,10000
182,182,0.017955799999999744,0.0,20,10000
183,183,0.018017999999999645,0.0,20,10000
184,184,0.018080299999999827,0.0,20,10000
185,185,0.018142699999999845,0.0,20,10000
186,186,0.018205499999999653,0.0,20,10000
187,187,0.01826799999999995,0.0,20,10000
188,188,0.01833029999999969,0.0,20,10000
189,189,0.01839249999999959,0.0,20,10000
190,190,0.018455099999999725,0.0,20,10000
191,191,0.01851769999999986,0.0,20,10000
