,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.12667739999999839,704.0,True,250,0.35,100
1,1,0.27347110000000185,850.0,True,250,0.35,100
2,2,0.41347189999999756,933.0,True,250,0.35,100
3,3,0.557010499999997,989.0,True,250,0.35,100
4,4,0.7021534000000003,996.0,True,250,0.35,100
5,5,0.8437801000000036,1071.0,True,250,0.35,100
6,6,0.9853641999999994,1139.0,True,250,0.35,100
7,7,1.1258861000000024,1169.0,True,250,0.35,100
8,8,1.2666114000000022,1312.0,True,250,0.35,100
9,9,1.4073835000000017,1347.0,True,250,0.35,100
10,10,1.5472212000000027,1383.0,True,250,0.35,100
11,11,1.687109300000003,1383.0,True,250,0.35,100
12,12,1.8282577000000018,1383.0,True,250,0.35,100
13,13,1.967868099999997,1383.0,True,250,0.35,100
14,14,2.120283299999997,1383.0,True,250,0.35,100
15,15,2.271065499999999,1383.0,True,250,0.35,100
