,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.20820309999999864,1210.0,True,250,0.35,100
1,1,0.46150160000000184,1388.0,True,250,0.35,100
2,2,0.7018798000000004,1436.0,True,250,0.35,100
3,3,0.939582399999999,1483.0,True,250,0.35,100
4,4,1.1754844999999996,1578.0,True,250,0.35,100
5,5,1.4067189000000013,1618.0,True,250,0.35,100
6,6,1.6395333,1787.0,True,250,0.35,100
7,7,1.879471800000001,1870.0,True,250,0.35,100
8,8,2.1183496999999996,1911.0,True,250,0.35,100
9,9,2.360241900000002,2091.0,True,250,0.35,100
10,10,2.6026568999999995,2238.0,True,250,0.35,100
11,11,2.8456294,2312.0,True,250,0.35,100
12,12,3.085280600000001,2354.0,True,250,0.35,100
13,13,3.323541200000001,2398.0,True,250,0.35,100
14,14,3.564062400000001,2398.0,True,250,0.35,100
15,15,3.8064549999999997,2398.0,True,250,0.35,100
16,16,4.0460131,2398.0,True,250,0.35,100
17,17,4.3061556,2398.0,True,250,0.35,100
18,18,4.563608600000002,2398.0,True,250,0.35,100
