,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.16540050000003248,470.0,True,490,0.3,100
1,1,0.35818120000021736,598.0,True,490,0.3,100
2,2,0.5425992000000406,599.0,True,490,0.3,100
3,3,0.7256596000001991,619.0,True,490,0.3,100
4,4,0.914978800000199,760.0,True,490,0.3,100
5,5,1.1052365000000464,819.0,True,490,0.3,100
6,6,1.2945755000000645,819.0,True,490,0.3,100
7,7,1.4858917000001384,877.0,True,490,0.3,100
8,8,1.6762762000000748,917.0,True,490,0.3,100
9,9,1.8583862000000408,947.0,True,490,0.3,100
10,10,2.042184100000213,947.0,True,490,0.3,100
11,11,2.227171100000078,947.0,True,490,0.3,100
12,12,2.4145083000000795,947.0,True,490,0.3,100
13,13,2.6156948000000284,947.0,True,490,0.3,100
14,14,2.812874700000066,947.0,True,490,0.3,100
15,15,3.0146269000001666,947.0,True,490,0.3,100
16,16,3.217295400000012,947.0,True,490,0.3,100
17,17,3.4183594000000994,947.0,True,490,0.3,100
18,18,3.6211207000001195,947.0,True,490,0.3,100
19,19,3.8217581000001246,947.0,True,490,0.3,100
