,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,4.6700000000177155e-05,2.0,10,5000,0
1,1,0.005990099999999998,4.0,10,5000,0
2,2,0.0060099000000000125,4.0,10,5000,0
3,3,0.006026000000000087,4.0,10,5000,0
4,4,0.006040200000000162,4.0,10,5000,0
5,5,0.0060539000000001675,4.0,10,5000,0
6,6,0.006067100000000103,4.0,10,5000,0
7,7,0.0060803000000000385,4.0,10,5000,0
8,8,0.006093800000000149,4.0,10,5000,0
9,9,0.006107599999999991,4.0,10,5000,0
10,10,0.00612120000000016,4.0,10,5000,0
11,11,0.006137800000000082,6.0,10,5000,0
12,12,0.0061523000000001105,6.0,10,5000,0
13,13,0.006166100000000174,6.0,10,5000,0
14,14,0.00617980000000018,6.0,10,5000,0
15,15,0.006193600000000021,6.0,10,5000,0
16,16,0.006207600000000202,6.0,10,5000,0
17,17,0.006221699999999997,6.0,10,5000,0
18,18,0.006235900000000072,6.0,10,5000,0
19,19,0.006250300000000042,6.0,10,5000,0
20,20,0.006264400000000059,6.0,10,5000,0
21,21,0.006278100000000064,6.0,10,5000,0
22,22,0.006295900000000021,6.0,10,5000,0
23,23,0.006311100000000014,6.0,10,5000,0
24,24,0.006325500000000206,6.0,10,5000,0
25,25,0.006339900000000176,6.0,10,5000,0
26,26,0.0063550000000001106,6.0,10,5000,0
27,27,0.0063702000000001036,6.0,10,5000,0
28,28,0.0063851000000001434,6.0,10,5000,0
29,29,0.006399600000000172,6.0,10,5000,0
30,30,0.006414300000000095,6.0,10,5000,0
31,31,0.006428800000000123,6.0,10,5000,0
32,32,0.006443399999999988,6.0,10,5000,0
33,33,0.006458100000000133,6.0,10,5000,0
34,34,0.006473000000000173,6.0,10,5000,0
35,35,0.006488000000000049,6.0,10,5000,0
36,36,0.006503200000000042,6.0,10,5000,0
37,37,0.0065182000000001405,6.0,10,5000,0
38,38,0.0065358000000002026,6.0,10,5000,0
39,39,0.006552300000000066,6.0,10,5000,0
40,40,0.006568000000000129,6.0,10,5000,0
41,41,0.0065838000000000285,6.0,10,5000,0
42,42,0.00659910000000008,6.0,10,5000,0
43,43,0.006614300000000073,6.0,10,5000,0
44,44,0.006629700000000183,6.0,10,5000,0
45,45,0.006644900000000176,6.0,10,5000,0
46,46,0.006662500000000016,6.0,10,5000,0
47,47,0.006679199999999996,6.0,10,5000,0
48,48,0.006694900000000059,6.0,10,5000,0
49,49,0.00671070000000018,6.0,10,5000,0
50,50,0.0067262000000001265,6.0,10,5000,0
51,51,0.006742000000000026,6.0,10,5000,0
52,52,0.0067582000000001585,6.0,10,5000,0
53,53,0.006773899999999999,6.0,10,5000,0
54,54,0.00679110000000005,6.0,10,5000,0
55,55,0.006807700000000194,6.0,10,5000,0
56,56,0.006823900000000105,6.0,10,5000,0
57,57,0.006840000000000179,6.0,10,5000,0
58,58,0.00685620000000009,6.0,10,5000,0
59,59,0.006873200000000024,6.0,10,5000,0
60,60,0.00688970000000011,6.0,10,5000,0
61,61,0.006905600000000067,6.0,10,5000,0
62,62,0.011802400000000102,6.0,10,5000,1
63,63,0.016873499999999986,6.0,10,5000,1
64,64,0.016927499999999984,6.0,10,5000,1
65,65,0.016950300000000196,6.0,10,5000,1
66,66,0.016991300000000154,6.0,10,5000,1
67,67,0.01700920000000017,6.0,10,5000,1
68,68,0.017027400000000137,6.0,10,5000,1
69,69,0.017045300000000152,6.0,10,5000,1
70,70,0.017062400000000144,6.0,10,5000,1
71,71,0.017084100000000157,6.0,10,5000,1
72,72,0.017102700000000137,6.0,10,5000,1
73,73,0.017120900000000105,6.0,10,5000,1
74,74,0.017139000000000015,6.0,10,5000,1
75,75,0.017156200000000066,6.0,10,5000,1
76,76,0.017173400000000116,6.0,10,5000,1
77,77,0.017190700000000003,6.0,10,5000,1
78,78,0.01720810000000017,6.0,10,5000,1
79,79,0.017227700000000068,6.0,10,5000,1
80,80,0.017246100000000153,6.0,10,5000,1
81,81,0.017264100000000004,6.0,10,5000,1
82,82,0.017281700000000066,6.0,10,5000,1
83,83,0.01730300000000007,6.0,10,5000,1
84,84,0.017321400000000153,6.0,10,5000,1
85,85,0.01733930000000017,6.0,10,5000,1
86,86,0.017356800000000172,6.0,10,5000,1
87,87,0.017374700000000187,6.0,10,5000,1
88,88,0.017392600000000202,6.0,10,5000,1
89,89,0.017411600000000194,6.0,10,5000,1
