,Iteration,Time,Fitness,Temperature,max_iters
0,0,8.189999999985709e-05,16.0,8,1000
1,1,0.008676299999999859,17.0,8,1000
2,2,0.008732399999999974,17.0,8,1000
3,3,0.008778599999999859,17.0,8,1000
4,4,0.008821100000000026,17.0,8,1000
5,5,0.008864100000000041,16.0,8,1000
6,6,0.008905199999999835,15.0,8,1000
7,7,0.008951799999999954,15.0,8,1000
8,8,0.008993099999999865,15.0,8,1000
9,9,0.009033899999999928,15.0,8,1000
10,10,0.009074499999999874,13.0,8,1000
11,11,0.009114199999999961,10.0,8,1000
12,12,0.009172799999999981,10.0,8,1000
13,13,0.009236000000000022,8.0,8,1000
14,14,0.009276399999999851,7.0,8,1000
15,15,0.009331999999999896,8.0,8,1000
16,16,0.009367399999999915,11.0,8,1000
17,17,0.009429899999999991,14.0,8,1000
18,18,0.009554799999999863,16.0,8,1000
19,19,0.00961259999999986,15.0,8,1000
20,20,0.009649599999999925,16.0,8,1000
21,21,0.009734200000000026,16.0,8,1000
22,22,0.009773199999999926,16.0,8,1000
23,23,0.009856399999999876,16.0,8,1000
24,24,0.009988899999999967,15.0,8,1000
25,25,0.010071399999999953,16.0,8,1000
26,26,0.010108000000000006,17.0,8,1000
27,27,0.010147099999999964,16.0,8,1000
28,28,0.01020999999999983,15.0,8,1000
29,29,0.010251099999999846,15.0,8,1000
30,30,0.01030679999999995,16.0,8,1000
31,31,0.01036439999999983,16.0,8,1000
32,32,0.010423599999999977,15.0,8,1000
33,33,0.010504399999999858,16.0,8,1000
34,34,0.010543199999999864,15.0,8,1000
35,35,0.010582300000000044,14.0,8,1000
36,36,0.010662299999999902,15.0,8,1000
37,37,0.010723799999999839,16.0,8,1000
38,38,0.010780000000000012,17.0,8,1000
39,39,0.010858199999999929,16.0,8,1000
40,40,0.01089759999999984,15.0,8,1000
41,41,0.010965200000000008,15.0,8,1000
42,42,0.011010299999999917,15.0,8,1000
43,43,0.011113099999999987,15.0,8,1000
44,44,0.01119659999999989,16.0,8,1000
45,45,0.011253100000000016,19.0,8,1000
46,46,0.011338199999999965,19.0,8,1000
47,47,0.011398499999999867,19.0,8,1000
48,48,0.011437099999999978,20.0,8,1000
49,49,0.011495199999999928,19.0,8,1000
50,50,0.01153599999999999,18.0,8,1000
51,51,0.011575200000000008,17.0,8,1000
52,52,0.011612799999999979,19.0,8,1000
53,53,0.011654799999999854,19.0,8,1000
54,54,0.011693999999999871,18.0,8,1000
55,55,0.011733800000000016,17.0,8,1000
56,56,0.011771599999999882,18.0,8,1000
57,57,0.011811599999999922,18.0,8,1000
58,58,0.011849299999999952,19.0,8,1000
59,59,0.011891699999999839,17.0,8,1000
60,60,0.011932799999999855,18.0,8,1000
61,61,0.011973000000000011,17.0,8,1000
62,62,0.012011499999999842,18.0,8,1000
63,63,0.012049999999999894,19.0,8,1000
64,64,0.012090199999999829,18.0,8,1000
65,65,0.012128200000000033,19.0,8,1000
66,66,0.01216829999999991,17.0,8,1000
67,67,0.012205800000000044,19.0,8,1000
68,68,0.012245300000000015,19.0,8,1000
69,69,0.01228539999999989,18.0,8,1000
70,70,0.012323300000000037,19.0,8,1000
71,71,0.012366899999999958,20.0,8,1000
72,72,0.012416100000000041,20.0,8,1000
73,73,0.012455299999999836,21.0,8,1000
74,74,0.0124922999999999,22.0,8,1000
75,75,0.012532499999999835,20.0,8,1000
76,76,0.012572400000000039,19.0,8,1000
77,77,0.01261230000000002,19.0,8,1000
78,78,0.01264949999999998,21.0,8,1000
79,79,0.01268619999999987,22.0,8,1000
80,80,0.012726099999999851,21.0,8,1000
81,81,0.012754199999999827,21.0,8,1000
82,82,0.012794399999999984,21.0,8,1000
83,83,0.012834699999999977,21.0,8,1000
84,84,0.012875100000000028,19.0,8,1000
85,85,0.012902899999999828,19.0,8,1000
86,86,0.012948199999999854,20.0,8,1000
87,87,0.012992499999999962,19.0,8,1000
88,88,0.013030299999999828,21.0,8,1000
89,89,0.01307349999999996,21.0,8,1000
90,90,0.013111600000000001,22.0,8,1000
91,91,0.013152300000000006,21.0,8,1000
92,92,0.01319249999999994,21.0,8,1000
93,93,0.01322129999999988,21.0,8,1000
94,94,0.013261899999999827,21.0,8,1000
95,95,0.013302900000000006,18.0,8,1000
96,96,0.013331800000000005,18.0,8,1000
97,97,0.013372199999999834,18.0,8,1000
98,98,0.013412299999999933,18.0,8,1000
99,99,0.013453500000000007,18.0,8,1000
100,100,0.013482199999999889,18.0,8,1000
101,101,0.013511199999999945,18.0,8,1000
102,102,0.01355240000000002,17.0,8,1000
103,103,0.013592599999999955,16.0,8,1000
104,104,0.013633499999999854,16.0,8,1000
105,105,0.013673599999999952,16.0,8,1000
106,106,0.013713699999999829,16.0,8,1000
107,107,0.013753499999999974,17.0,8,1000
108,108,0.013793999999999862,17.0,8,1000
109,109,0.01383179999999995,18.0,8,1000
110,110,0.013870300000000002,19.0,8,1000
111,111,0.013908799999999832,20.0,8,1000
112,112,0.013966399999999934,19.0,8,1000
113,113,0.013995399999999991,19.0,8,1000
114,114,0.014035999999999937,19.0,8,1000
115,115,0.014076899999999837,19.0,8,1000
116,116,0.014117599999999841,18.0,8,1000
117,117,0.014157500000000045,18.0,8,1000
118,118,0.014195199999999852,19.0,8,1000
119,119,0.014235999999999915,18.0,8,1000
120,120,0.014277699999999838,18.0,8,1000
121,121,0.014315499999999926,19.0,8,1000
122,122,0.014355399999999907,19.0,8,1000
123,123,0.014395900000000017,19.0,8,1000
124,124,0.014436699999999858,18.0,8,1000
125,125,0.014474099999999934,19.0,8,1000
126,126,0.014503199999999827,19.0,8,1000
127,127,0.014545400000000042,19.0,8,1000
128,128,0.01457559999999991,19.0,8,1000
129,129,0.014605599999999885,19.0,8,1000
130,130,0.01464489999999996,20.0,8,1000
131,131,0.014708799999999966,19.0,8,1000
132,132,0.014753400000000028,19.0,8,1000
133,133,0.014839700000000011,19.0,8,1000
134,134,0.01489790000000002,18.0,8,1000
135,135,0.0149416,19.0,8,1000
136,136,0.015004400000000029,21.0,8,1000
137,137,0.0150652,21.0,8,1000
138,138,0.015131499999999853,21.0,8,1000
139,139,0.015172900000000045,21.0,8,1000
140,140,0.015214499999999909,21.0,8,1000
141,141,0.015256199999999831,20.0,8,1000
142,142,0.015297799999999917,20.0,8,1000
143,143,0.015355999999999925,21.0,8,1000
144,144,0.015404999999999891,21.0,8,1000
145,145,0.015447599999999895,21.0,8,1000
146,146,0.015488999999999864,21.0,8,1000
147,147,0.015518900000000002,21.0,8,1000
148,148,0.015560000000000018,21.0,8,1000
149,149,0.015603400000000045,20.0,8,1000
150,150,0.01563479999999995,20.0,8,1000
151,151,0.0156771,20.0,8,1000
152,152,0.015717199999999876,21.0,8,1000
153,153,0.015747500000000025,21.0,8,1000
154,154,0.015789899999999912,21.0,8,1000
155,155,0.015854000000000035,21.0,8,1000
156,156,0.015942799999999924,21.0,8,1000
157,157,0.01598440000000001,22.0,8,1000
158,158,0.016027199999999908,21.0,8,1000
159,159,0.01606620000000003,22.0,8,1000
160,160,0.01613779999999987,22.0,8,1000
161,161,0.01616890000000004,22.0,8,1000
162,162,0.01620979999999994,23.0,8,1000
163,163,0.016256499999999896,23.0,8,1000
164,164,0.01630979999999993,23.0,8,1000
165,165,0.016366199999999997,22.0,8,1000
166,166,0.0164088,21.0,8,1000
167,167,0.016450399999999865,21.0,8,1000
168,168,0.016480700000000015,21.0,8,1000
169,169,0.016522499999999996,20.0,8,1000
170,170,0.016564299999999976,20.0,8,1000
171,171,0.01660589999999984,20.0,8,1000
172,172,0.016647499999999926,19.0,8,1000
173,173,0.01668959999999986,19.0,8,1000
174,174,0.0167314999999999,20.0,8,1000
175,175,0.016762299999999897,20.0,8,1000
176,176,0.016805100000000017,20.0,8,1000
177,177,0.016847799999999857,19.0,8,1000
178,178,0.016890599999999978,18.0,8,1000
179,179,0.01693699999999998,20.0,8,1000
180,180,0.016967999999999872,20.0,8,1000
181,181,0.017002799999999985,20.0,8,1000
182,182,0.01704939999999988,20.0,8,1000
183,183,0.017092399999999897,20.0,8,1000
184,184,0.017123299999999952,20.0,8,1000
185,185,0.01715420000000001,20.0,8,1000
186,186,0.017186699999999888,20.0,8,1000
187,187,0.017230399999999868,20.0,8,1000
188,188,0.017262200000000005,20.0,8,1000
189,189,0.017305399999999915,19.0,8,1000
190,190,0.01733680000000004,19.0,8,1000
191,191,0.01736839999999984,19.0,8,1000
192,192,0.017409999999999926,22.0,8,1000
