,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0023620000000001973,5.0,100,0.15,1000
1,1,0.013230599999999981,5.0,100,0.15,1000
2,2,0.019906699999999944,5.0,100,0.15,1000
3,3,0.025861400000000145,5.0,100,0.15,1000
4,4,0.03201390000000037,5.0,100,0.15,1000
5,5,0.03974730000000015,5.0,100,0.15,1000
6,6,0.04573170000000015,5.0,100,0.15,1000
7,7,0.05166599999999999,5.0,100,0.15,1000
8,8,0.057318400000000214,5.0,100,0.15,1000
9,9,0.06312960000000034,5.0,100,0.15,1000
10,10,0.06904730000000026,5.0,100,0.15,1000
11,11,0.07473220000000014,5.0,100,0.15,1000
12,12,0.0806224000000002,5.0,100,0.15,1000
13,13,0.086503,5.0,100,0.15,1000
14,14,0.09226010000000029,5.0,100,0.15,1000
15,15,0.09881430000000035,5.0,100,0.15,1000
16,16,0.10447090000000037,5.0,100,0.15,1000
17,17,0.1102590000000001,5.0,100,0.15,1000
18,18,0.11591180000000012,5.0,100,0.15,1000
19,19,0.12161130000000009,5.0,100,0.15,1000
20,20,0.1271871,5.0,100,0.15,1000
21,21,0.1328153000000003,5.0,100,0.15,1000
22,22,0.1383356,5.0,100,0.15,1000
23,23,0.14387490000000014,5.0,100,0.15,1000
24,24,0.14952120000000013,5.0,100,0.15,1000
25,25,0.15509070000000014,5.0,100,0.15,1000
26,26,0.1607362000000001,5.0,100,0.15,1000
27,27,0.1664901000000003,5.0,100,0.15,1000
28,28,0.17206089999999996,5.0,100,0.15,1000
29,29,0.17759820000000026,5.0,100,0.15,1000
30,30,0.18318250000000003,5.0,100,0.15,1000
31,31,0.18871970000000005,5.0,100,0.15,1000
32,32,0.19425250000000016,5.0,100,0.15,1000
33,33,0.19978410000000002,5.0,100,0.15,1000
34,34,0.2053187000000003,5.0,100,0.15,1000
35,35,0.21109430000000007,5.0,100,0.15,1000
36,36,0.21664300000000036,5.0,100,0.15,1000
37,37,0.22224240000000028,5.0,100,0.15,1000
38,38,0.22793229999999998,5.0,100,0.15,1000
39,39,0.23333059999999994,5.0,100,0.15,1000
40,40,0.23865610000000004,5.0,100,0.15,1000
41,41,0.24400810000000028,5.0,100,0.15,1000
42,42,0.2497720000000001,5.0,100,0.15,1000
43,43,0.25505920000000026,5.0,100,0.15,1000
44,44,0.2604997,5.0,100,0.15,1000
45,45,0.26580590000000015,5.0,100,0.15,1000
46,46,0.27150640000000026,5.0,100,0.15,1000
47,47,0.2768510000000002,5.0,100,0.15,1000
48,48,0.2823405000000001,5.0,100,0.15,1000
49,49,0.2876864000000001,5.0,100,0.15,1000
50,50,0.2932907,5.0,100,0.15,1000
51,51,0.29870790000000014,5.0,100,0.15,1000
52,52,0.30410000000000004,5.0,100,0.15,1000
53,53,0.30964930000000024,5.0,100,0.15,1000
54,54,0.31499270000000035,5.0,100,0.15,1000
55,55,0.32052910000000034,5.0,100,0.15,1000
56,56,0.32597030000000027,5.0,100,0.15,1000
57,57,0.33182599999999995,5.0,100,0.15,1000
58,58,0.33715990000000007,5.0,100,0.15,1000
59,59,0.34271150000000006,5.0,100,0.15,1000
60,60,0.3480880000000002,5.0,100,0.15,1000
61,61,0.3543356000000002,5.0,100,0.15,1000
62,62,0.3595851000000003,5.0,100,0.15,1000
63,63,0.36506510000000025,5.0,100,0.15,1000
64,64,0.3707015,5.0,100,0.15,1000
65,65,0.37610860000000024,5.0,100,0.15,1000
66,66,0.3815849,5.0,100,0.15,1000
67,67,0.38729380000000013,5.0,100,0.15,1000
68,68,0.39285710000000007,5.0,100,0.15,1000
69,69,0.3982842,5.0,100,0.15,1000
70,70,0.4039408,5.0,100,0.15,1000
71,71,0.4092657000000002,5.0,100,0.15,1000
72,72,0.41484840000000034,5.0,100,0.15,1000
73,73,0.42030030000000007,5.0,100,0.15,1000
74,74,0.42574390000000006,5.0,100,0.15,1000
75,75,0.4311574,5.0,100,0.15,1000
76,76,0.4367129000000003,5.0,100,0.15,1000
77,77,0.44215510000000036,5.0,100,0.15,1000
78,78,0.4476472,5.0,100,0.15,1000
79,79,0.4532410000000002,5.0,100,0.15,1000
80,80,0.4585968,5.0,100,0.15,1000
81,81,0.4640736000000003,5.0,100,0.15,1000
82,82,0.4694741000000002,5.0,100,0.15,1000
83,83,0.47532790000000036,5.0,100,0.15,1000
84,84,0.48096210000000017,5.0,100,0.15,1000
85,85,0.48648780000000036,5.0,100,0.15,1000
86,86,0.4919175,5.0,100,0.15,1000
87,87,0.49756990000000023,5.0,100,0.15,1000
88,88,0.5029411000000001,5.0,100,0.15,1000
89,89,0.5083944000000002,5.0,100,0.15,1000
90,90,0.5140312000000002,5.0,100,0.15,1000
91,91,0.5196526000000001,5.0,100,0.15,1000
92,92,0.5250631000000001,5.0,100,0.15,1000
93,93,0.5304578000000002,5.0,100,0.15,1000
94,94,0.5359882000000002,5.0,100,0.15,1000
95,95,0.5413833000000001,5.0,100,0.15,1000
96,96,0.5468975,5.0,100,0.15,1000
97,97,0.5522851000000002,5.0,100,0.15,1000
98,98,0.5578969000000003,5.0,100,0.15,1000
99,99,0.5633144000000003,5.0,100,0.15,1000
100,100,0.5687784000000002,5.0,100,0.15,1000
