,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0031058999999999948,0.0,100,0.15,1000
1,1,0.01748520000000031,0.0,100,0.15,1000
2,2,0.025831200000000276,0.0,100,0.15,1000
3,3,0.03535540000000026,0.0,100,0.15,1000
4,4,0.04398710000000028,0.0,100,0.15,1000
5,5,0.05190740000000016,0.0,100,0.15,1000
6,6,0.05994180000000027,0.0,100,0.15,1000
7,7,0.06784360000000023,0.0,100,0.15,1000
8,8,0.07574009999999998,0.0,100,0.15,1000
9,9,0.08359640000000024,0.0,100,0.15,1000
10,10,0.09150619999999998,0.0,100,0.15,1000
11,11,0.09932050000000014,0.0,100,0.15,1000
12,12,0.10723930000000026,0.0,100,0.15,1000
13,13,0.11499900000000007,0.0,100,0.15,1000
14,14,0.12277570000000004,0.0,100,0.15,1000
15,15,0.13050000000000006,0.0,100,0.15,1000
16,16,0.1382730000000003,0.0,100,0.15,1000
17,17,0.14588730000000005,0.0,100,0.15,1000
18,18,0.15380070000000012,0.0,100,0.15,1000
19,19,0.16152619999999995,0.0,100,0.15,1000
20,20,0.16948439999999998,0.0,100,0.15,1000
21,21,0.17726440000000032,0.0,100,0.15,1000
22,22,0.18505269999999996,0.0,100,0.15,1000
23,23,0.19289840000000025,0.0,100,0.15,1000
24,24,0.20060030000000006,0.0,100,0.15,1000
25,25,0.20837140000000032,0.0,100,0.15,1000
26,26,0.2166064000000003,0.0,100,0.15,1000
27,27,0.2243322000000001,0.0,100,0.15,1000
28,28,0.23216459999999994,0.0,100,0.15,1000
29,29,0.24012389999999995,0.0,100,0.15,1000
30,30,0.24796459999999998,0.0,100,0.15,1000
31,31,0.2558244000000003,0.0,100,0.15,1000
32,32,0.2635612000000003,0.0,100,0.15,1000
33,33,0.2716645,0.0,100,0.15,1000
34,34,0.27937800000000035,0.0,100,0.15,1000
35,35,0.2873329,0.0,100,0.15,1000
36,36,0.2952321000000002,0.0,100,0.15,1000
37,37,0.30315899999999996,0.0,100,0.15,1000
38,38,0.31091590000000036,0.0,100,0.15,1000
39,39,0.3191520000000003,0.0,100,0.15,1000
40,40,0.3271988000000001,0.0,100,0.15,1000
41,41,0.3350936,0.0,100,0.15,1000
42,42,0.34290980000000015,0.0,100,0.15,1000
43,43,0.3509831000000001,0.0,100,0.15,1000
44,44,0.35914230000000025,0.0,100,0.15,1000
45,45,0.36692839999999993,0.0,100,0.15,1000
46,46,0.37488220000000005,0.0,100,0.15,1000
47,47,0.3832932000000002,0.0,100,0.15,1000
48,48,0.3920325,0.0,100,0.15,1000
49,49,0.3998818000000002,0.0,100,0.15,1000
50,50,0.40779889999999996,0.0,100,0.15,1000
51,51,0.4157495,0.0,100,0.15,1000
52,52,0.42361850000000034,0.0,100,0.15,1000
53,53,0.43148810000000015,0.0,100,0.15,1000
54,54,0.43932420000000016,0.0,100,0.15,1000
55,55,0.44706230000000025,0.0,100,0.15,1000
56,56,0.4549527000000002,0.0,100,0.15,1000
57,57,0.46278980000000036,0.0,100,0.15,1000
58,58,0.470599,0.0,100,0.15,1000
59,59,0.4784261000000001,0.0,100,0.15,1000
60,60,0.4862274000000002,0.0,100,0.15,1000
61,61,0.4940734,0.0,100,0.15,1000
62,62,0.5018190000000002,0.0,100,0.15,1000
63,63,0.5096322,0.0,100,0.15,1000
64,64,0.5173670000000001,0.0,100,0.15,1000
65,65,0.5250802999999999,0.0,100,0.15,1000
66,66,0.5328467000000003,0.0,100,0.15,1000
67,67,0.5405788,0.0,100,0.15,1000
68,68,0.5483402000000002,899.0,100,0.15,1000
69,69,0.5563624000000003,969.0,100,0.15,1000
70,70,0.5643694000000004,970.0,100,0.15,1000
71,71,0.5724358,970.0,100,0.15,1000
72,72,0.5803737,970.0,100,0.15,1000
73,73,0.5883802,970.0,100,0.15,1000
74,74,0.5963883999999999,970.0,100,0.15,1000
75,75,0.6046367000000004,970.0,100,0.15,1000
76,76,0.6126558000000002,970.0,100,0.15,1000
77,77,0.6206701000000003,970.0,100,0.15,1000
78,78,0.6287898000000003,970.0,100,0.15,1000
79,79,0.6369994999999999,970.0,100,0.15,1000
80,80,0.6450465000000003,970.0,100,0.15,1000
81,81,0.6531197,970.0,100,0.15,1000
82,82,0.6611876000000003,970.0,100,0.15,1000
83,83,0.6694901,971.0,100,0.15,1000
84,84,0.6775256000000001,971.0,100,0.15,1000
85,85,0.6857207000000001,971.0,100,0.15,1000
86,86,0.6937468,971.0,100,0.15,1000
87,87,0.7018411000000002,972.0,100,0.15,1000
88,88,0.7099060000000001,972.0,100,0.15,1000
89,89,0.7180802000000002,972.0,100,0.15,1000
90,90,0.7260724999999999,972.0,100,0.15,1000
91,91,0.7340005999999999,972.0,100,0.15,1000
92,92,0.7421328000000003,972.0,100,0.15,1000
93,93,0.7501082000000006,972.0,100,0.15,1000
94,94,0.758102,972.0,100,0.15,1000
95,95,0.7662652999999997,972.0,100,0.15,1000
96,96,0.7743007999999998,972.0,100,0.15,1000
97,97,0.7822567000000005,972.0,100,0.15,1000
98,98,0.7904748000000001,972.0,100,0.15,1000
99,99,0.7985799,972.0,100,0.15,1000
100,100,0.8066829000000002,972.0,100,0.15,1000
101,101,0.8147992000000004,972.0,100,0.15,1000
102,102,0.8229129999999998,972.0,100,0.15,1000
103,103,0.8310395000000002,972.0,100,0.15,1000
104,104,0.8391473999999999,972.0,100,0.15,1000
105,105,0.8471669000000004,972.0,100,0.15,1000
106,106,0.8560157999999998,972.0,100,0.15,1000
107,107,0.8641509000000003,972.0,100,0.15,1000
108,108,0.8722330000000005,972.0,100,0.15,1000
109,109,0.8801936000000001,972.0,100,0.15,1000
110,110,0.8882010999999999,972.0,100,0.15,1000
111,111,0.8961966000000006,972.0,100,0.15,1000
112,112,0.9041997999999998,972.0,100,0.15,1000
113,113,0.9121560999999998,972.0,100,0.15,1000
114,114,0.9201202000000004,972.0,100,0.15,1000
115,115,0.9282807000000002,972.0,100,0.15,1000
116,116,0.9365567000000006,972.0,100,0.15,1000
117,117,0.9444875000000001,972.0,100,0.15,1000
118,118,0.9523701000000004,972.0,100,0.15,1000
119,119,0.9604799000000002,972.0,100,0.15,1000
120,120,0.9684415,972.0,100,0.15,1000
121,121,0.9764501000000001,972.0,100,0.15,1000
122,122,0.9843482000000003,972.0,100,0.15,1000
123,123,0.9923140000000004,972.0,100,0.15,1000
124,124,1.0003389,972.0,100,0.15,1000
125,125,1.0082570999999998,972.0,100,0.15,1000
126,126,1.0162430000000002,972.0,100,0.15,1000
127,127,1.0241639999999999,972.0,100,0.15,1000
128,128,1.0320577000000002,972.0,100,0.15,1000
129,129,1.0400774000000004,972.0,100,0.15,1000
130,130,1.0479544,972.0,100,0.15,1000
131,131,1.0560064000000002,972.0,100,0.15,1000
132,132,1.0639387000000005,972.0,100,0.15,1000
133,133,1.0718953000000004,972.0,100,0.15,1000
134,134,1.0798928000000005,972.0,100,0.15,1000
135,135,1.0878424000000004,972.0,100,0.15,1000
136,136,1.0957416000000002,972.0,100,0.15,1000
137,137,1.1038058,972.0,100,0.15,1000
138,138,1.1117533000000002,972.0,100,0.15,1000
139,139,1.1198272000000005,972.0,100,0.15,1000
140,140,1.1277175000000002,972.0,100,0.15,1000
141,141,1.1356837000000004,972.0,100,0.15,1000
142,142,1.1436145,972.0,100,0.15,1000
143,143,1.1517246000000005,972.0,100,0.15,1000
144,144,1.1597289000000002,972.0,100,0.15,1000
145,145,1.1677274000000004,972.0,100,0.15,1000
146,146,1.1757026000000002,972.0,100,0.15,1000
147,147,1.1837784000000005,972.0,100,0.15,1000
148,148,1.1917745000000002,972.0,100,0.15,1000
149,149,1.1997844000000004,972.0,100,0.15,1000
150,150,1.2077232000000002,972.0,100,0.15,1000
151,151,1.2156655,972.0,100,0.15,1000
152,152,1.2237673999999998,972.0,100,0.15,1000
153,153,1.2317492999999997,972.0,100,0.15,1000
154,154,1.2397725,972.0,100,0.15,1000
155,155,1.2476987,972.0,100,0.15,1000
156,156,1.2558766000000006,972.0,100,0.15,1000
157,157,1.2638854000000004,972.0,100,0.15,1000
158,158,1.2719794000000002,972.0,100,0.15,1000
159,159,1.2799117000000004,972.0,100,0.15,1000
160,160,1.2881489999999998,972.0,100,0.15,1000
161,161,1.2961743000000006,972.0,100,0.15,1000
162,162,1.3042102,972.0,100,0.15,1000
163,163,1.3121309000000005,972.0,100,0.15,1000
164,164,1.3203259000000003,972.0,100,0.15,1000
165,165,1.3283082999999998,972.0,100,0.15,1000
166,166,1.3363584,972.0,100,0.15,1000
167,167,1.3443768,972.0,100,0.15,1000
168,168,1.3523942,972.0,100,0.15,1000
169,169,1.3605024000000006,972.0,100,0.15,1000
170,170,1.3684686,972.0,100,0.15,1000
171,171,1.3768192,972.0,100,0.15,1000
172,172,1.3848542000000004,972.0,100,0.15,1000
173,173,1.3928918000000001,972.0,100,0.15,1000
174,174,1.4007806,972.0,100,0.15,1000
175,175,1.4086379999999998,972.0,100,0.15,1000
176,176,1.4167297000000003,972.0,100,0.15,1000
177,177,1.4246941,972.0,100,0.15,1000
178,178,1.4325906000000002,972.0,100,0.15,1000
179,179,1.4407655000000004,972.0,100,0.15,1000
180,180,1.4487164999999997,972.0,100,0.15,1000
181,181,1.4566160000000004,972.0,100,0.15,1000
182,182,1.4645883,972.0,100,0.15,1000
183,183,1.4724231999999997,972.0,100,0.15,1000
184,184,1.4802729000000001,972.0,100,0.15,1000
185,185,1.4883163000000001,972.0,100,0.15,1000
186,186,1.4962043000000005,972.0,100,0.15,1000
187,187,1.5041624000000002,972.0,100,0.15,1000
