,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006142400000001658,0.0,True,200,0.35,150
1,1,0.04941670000000187,736.0,True,200,0.35,150
2,2,0.08786119999999897,736.0,True,200,0.35,150
3,3,0.12652070000000037,736.0,True,200,0.35,150
4,4,0.1638779000000028,736.0,True,200,0.35,150
5,5,0.2020885000000021,736.0,True,200,0.35,150
6,6,0.24086650000000276,736.0,True,200,0.35,150
7,7,0.27876119999999815,736.0,True,200,0.35,150
8,8,0.31671289999999885,736.0,True,200,0.35,150
9,9,0.3550682999999992,736.0,True,200,0.35,150
10,10,0.3924876000000026,736.0,True,200,0.35,150
11,11,0.43155610000000166,736.0,True,200,0.35,150
12,12,0.4699175000000011,736.0,True,200,0.35,150
13,13,0.5080353000000031,736.0,True,200,0.35,150
14,14,0.5450153999999969,736.0,True,200,0.35,150
15,15,0.5857316999999966,736.0,True,200,0.35,150
16,16,0.6238242000000014,736.0,True,200,0.35,150
