,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006254799999999783,0.0,True,200,0.35,150
1,1,0.05581209999999981,954.0,True,200,0.35,150
2,2,0.10079989999999928,954.0,True,200,0.35,150
3,3,0.14626479999999997,954.0,True,200,0.35,150
4,4,0.19398599999999977,954.0,True,200,0.35,150
5,5,0.2402141999999996,954.0,True,200,0.35,150
6,6,0.2866350999999998,954.0,True,200,0.35,150
7,7,0.3320299999999996,954.0,True,200,0.35,150
8,8,0.37806409999999957,954.0,True,200,0.35,150
9,9,0.42343249999999966,954.0,True,200,0.35,150
10,10,0.46897080000000013,954.0,True,200,0.35,150
11,11,0.5132835,954.0,True,200,0.35,150
12,12,0.5585055999999993,954.0,True,200,0.35,150
13,13,0.6053039999999994,954.0,True,200,0.35,150
14,14,0.6504369999999993,954.0,True,200,0.35,150
15,15,0.6956718999999998,954.0,True,200,0.35,150
16,16,0.7418749,954.0,True,200,0.35,150
