,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,9.179999999986421e-05,0.0,10,5000,0
1,1,0.006476399999999938,0.0,10,5000,0
2,2,0.006517699999999849,0.0,10,5000,0
3,3,0.0065533999999998205,0.0,10,5000,0
4,4,0.006586599999999887,0.0,10,5000,0
5,5,0.006619699999999895,0.0,10,5000,0
6,6,0.006651500000000032,0.0,10,5000,0
7,7,0.006683099999999831,0.0,10,5000,0
8,8,0.006714699999999851,0.0,10,5000,0
9,9,0.006746499999999989,0.0,10,5000,0
10,10,0.006777999999999951,0.0,10,5000,0
11,11,0.0068093999999998545,0.0,10,5000,0
12,12,0.006841099999999933,0.0,10,5000,0
13,13,0.0068725999999998955,0.0,10,5000,0
14,14,0.006904199999999916,0.0,10,5000,0
15,15,0.0069357999999999365,0.0,10,5000,0
16,16,0.0069677999999999685,0.0,10,5000,0
17,17,0.0069998000000000005,0.0,10,5000,0
18,18,0.007032099999999986,0.0,10,5000,0
19,19,0.007063399999999831,0.0,10,5000,0
20,20,0.00709559999999998,0.0,10,5000,0
21,21,0.0071272999999998365,0.0,10,5000,0
22,22,0.007172199999999851,0.0,10,5000,0
23,23,0.007205499999999976,0.0,10,5000,0
24,24,0.007238099999999914,0.0,10,5000,0
25,25,0.007270399999999899,0.0,10,5000,0
26,26,0.007303700000000024,0.0,10,5000,0
27,27,0.007336400000000021,0.0,10,5000,0
28,28,0.00736939999999997,0.0,10,5000,0
29,29,0.007401800000000014,0.0,10,5000,0
30,30,0.007434900000000022,0.0,10,5000,0
31,31,0.00746749999999996,0.0,10,5000,0
32,32,0.007499900000000004,0.0,10,5000,0
33,33,0.0075720999999999705,0.0,10,5000,0
34,34,0.007644699999999949,0.0,10,5000,0
35,35,0.00767759999999984,0.0,10,5000,0
36,36,0.007710799999999907,0.0,10,5000,0
37,37,0.007744199999999868,0.0,10,5000,0
38,38,0.007781799999999839,0.0,10,5000,0
39,39,0.007816299999999998,0.0,10,5000,0
40,40,0.007850099999999971,0.0,10,5000,0
41,41,0.00788309999999992,0.0,10,5000,0
42,42,0.007916199999999929,0.0,10,5000,0
43,43,0.007949199999999879,0.0,10,5000,0
44,44,0.007982299999999887,0.0,10,5000,0
45,45,0.008015299999999836,0.0,10,5000,0
46,46,0.008050699999999855,0.0,10,5000,0
47,47,0.008085600000000026,0.0,10,5000,0
48,48,0.008119199999999882,0.0,10,5000,0
